Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Argentina,,,|,china,548,-82466
Argentina,,,|,china,643,95
Argentina,,,|,china,920,277
Argentina,,,|,china,1406,486
Argentina,,,|,china,2075,669
Argentina,,,|,china,2877,802
Argentina,,,|,china,5509,2632
Argentina,,,|,china,6087,578
Argentina,,,|,china,8141,2054
Argentina,,,|,china,9802,1661
Argentina,,,|,china,11891,2089
Argentina,,,|,china,16630,4739
Argentina,,,|,china,19716,3086
Argentina,,,|,china,23707,3991
Argentina,,,|,china,27440,3733
Argentina,,,|,china,30587,3147
Argentina,,,|,china,34110,3523
Argentina,,,|,china,36814,2704
Argentina,,,|,china,39829,3015
Argentina,,,|,china,42354,2525
Argentina,,,|,china,44386,2032
Argentina,,,|,china,44759,373
Argentina,,,|,china,59895,15136
Argentina,,,|,china,66358,6463
Argentina,,,|,china,68413,2055
Argentina,,,|,china,70513,2100
Argentina,,,|,china,72434,1921
Argentina,,,|,china,74211,1777
Argentina,,,|,china,74619,408
Argentina,,,|,china,75077,458
Argentina,,,|,china,75550,473
Argentina,,,|,china,77001,1451
Argentina,,,|,china,77022,21
Argentina,,,|,china,77241,219
Argentina,1,,|,china,77754,513
Argentina,1,0,|,china,78166,412
Argentina,1,0,|,china,78600,434
Argentina,2,1,|,china,78928,328
Argentina,8,6,|,china,79356,428
Argentina,12,4,|,china,79932,576
Argentina,12,0,|,china,80136,204
Argentina,17,5,|,china,80261,125
Argentina,19,2,|,china,80386,125
Argentina,19,0,|,china,80537,151
Argentina,31,12,|,china,80690,153
Argentina,34,3,|,china,80770,80
Argentina,45,11,|,china,80823,53
Argentina,56,11,|,china,80860,37
Argentina,68,12,|,china,80887,27
Argentina,79,11,|,china,80921,34
Argentina,97,18,|,china,80932,11
Argentina,128,31,|,china,80945,13
Argentina,158,30,|,china,80977,32
Argentina,266,108,|,china,81003,26
Argentina,301,35,|,china,81033,30
Argentina,387,86,|,china,81058,25
Argentina,387,0,|,china,81102,44
Argentina,502,115,|,china,81156,54
Argentina,589,87,|,china,81250,94
Argentina,690,101,|,china,81305,55
Argentina,745,55,|,china,81435,130
Argentina,820,75,|,china,81498,63
Argentina,1054,234,|,china,81591,93
Argentina,1054,0,|,china,81661,70
Argentina,1133,79,|,china,81782,121
Argentina,1265,132,|,china,81897,115
Argentina,1451,186,|,china,81999,102
Argentina,1451,0,|,china,82122,123
Argentina,1554,103,|,china,82198,76
Argentina,1628,74,|,china,82279,81
Argentina,1715,87,|,china,82361,82
Argentina,1795,80,|,china,82432,71
Argentina,1975,180,|,china,82511,79
Argentina,1975,0,|,china,82543,32
Argentina,,,|,china,82602,59
Argentina,,,|,china,82665,63
Argentina,,,|,china,82718,53
Argentina,,,|,china,82809,91
Argentina,,,|,china,82883,74
Argentina,,,|,china,82941,58
Argentina,,,|,china,83014,73
