Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Argentina,1,,|,greece,1,-2080
Argentina,2,1,|,greece,3,2
Argentina,8,6,|,greece,4,1
Argentina,12,4,|,greece,4,0
Argentina,12,0,|,greece,7,3
Argentina,17,5,|,greece,7,0
Argentina,19,2,|,greece,7,0
Argentina,19,0,|,greece,9,2
Argentina,31,12,|,greece,31,22
Argentina,34,3,|,greece,45,14
Argentina,45,11,|,greece,46,1
Argentina,56,11,|,greece,73,27
Argentina,68,12,|,greece,73,0
Argentina,79,11,|,greece,89,16
Argentina,97,18,|,greece,99,10
Argentina,128,31,|,greece,99,0
Argentina,158,30,|,greece,190,91
Argentina,266,108,|,greece,228,38
Argentina,301,35,|,greece,331,103
Argentina,387,86,|,greece,331,0
Argentina,387,0,|,greece,387,56
Argentina,502,115,|,greece,418,31
Argentina,589,87,|,greece,418,0
Argentina,690,101,|,greece,495,77
Argentina,745,55,|,greece,530,35
Argentina,820,75,|,greece,624,94
Argentina,1054,234,|,greece,695,71
Argentina,1054,0,|,greece,743,48
Argentina,1133,79,|,greece,821,78
Argentina,1265,132,|,greece,892,71
Argentina,1451,186,|,greece,966,74
Argentina,1451,0,|,greece,1061,95
Argentina,1554,103,|,greece,1156,95
Argentina,1628,74,|,greece,1212,56
Argentina,1715,87,|,greece,1314,102
Argentina,1795,80,|,greece,1415,101
Argentina,1975,180,|,greece,1544,129
Argentina,,,|,greece,1613,69
Argentina,,,|,greece,1673,60
Argentina,,,|,greece,1735,62
Argentina,,,|,greece,1755,20
Argentina,,,|,greece,1832,77
Argentina,,,|,greece,1884,52
Argentina,,,|,greece,1955,71
Argentina,,,|,greece,2011,56
Argentina,,,|,greece,2081,70
