Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Argentina,,,|,korea-south,1,-10479
Argentina,,,|,korea-south,1,0
Argentina,,,|,korea-south,2,1
Argentina,,,|,korea-south,2,0
Argentina,,,|,korea-south,3,1
Argentina,,,|,korea-south,4,1
Argentina,,,|,korea-south,4,0
Argentina,,,|,korea-south,4,0
Argentina,,,|,korea-south,4,0
Argentina,,,|,korea-south,11,7
Argentina,,,|,korea-south,12,1
Argentina,,,|,korea-south,15,3
Argentina,,,|,korea-south,15,0
Argentina,,,|,korea-south,16,1
Argentina,,,|,korea-south,19,3
Argentina,,,|,korea-south,23,4
Argentina,,,|,korea-south,24,1
Argentina,,,|,korea-south,24,0
Argentina,,,|,korea-south,25,1
Argentina,1,,|,korea-south,27,2
Argentina,1,0,|,korea-south,28,1
Argentina,1,0,|,korea-south,28,0
Argentina,2,1,|,korea-south,28,0
Argentina,8,6,|,korea-south,28,0
Argentina,12,4,|,korea-south,28,0
Argentina,12,0,|,korea-south,29,1
Argentina,17,5,|,korea-south,30,1
Argentina,19,2,|,korea-south,31,1
Argentina,19,0,|,korea-south,31,0
Argentina,31,12,|,korea-south,104,73
Argentina,34,3,|,korea-south,204,100
Argentina,45,11,|,korea-south,433,229
Argentina,56,11,|,korea-south,602,169
Argentina,68,12,|,korea-south,833,231
Argentina,79,11,|,korea-south,977,144
Argentina,97,18,|,korea-south,1261,284
Argentina,128,31,|,korea-south,1766,505
Argentina,158,30,|,korea-south,2337,571
Argentina,266,108,|,korea-south,3150,813
Argentina,301,35,|,korea-south,3736,586
Argentina,387,86,|,korea-south,4335,599
Argentina,387,0,|,korea-south,5186,851
Argentina,502,115,|,korea-south,5621,435
Argentina,589,87,|,korea-south,6088,467
Argentina,690,101,|,korea-south,6593,505
Argentina,745,55,|,korea-south,7041,448
Argentina,820,75,|,korea-south,7314,273
Argentina,1054,234,|,korea-south,7478,164
Argentina,1054,0,|,korea-south,7513,35
Argentina,1133,79,|,korea-south,7755,242
Argentina,1265,132,|,korea-south,7869,114
Argentina,1451,186,|,korea-south,7979,110
Argentina,1451,0,|,korea-south,8086,107
Argentina,1554,103,|,korea-south,8162,76
Argentina,1628,74,|,korea-south,8236,74
Argentina,1715,87,|,korea-south,8320,84
Argentina,1795,80,|,korea-south,8413,93
Argentina,1975,180,|,korea-south,8565,152
Argentina,1975,0,|,korea-south,8652,87
Argentina,,,|,korea-south,8799,147
Argentina,,,|,korea-south,8961,162
Argentina,,,|,korea-south,8961,0
Argentina,,,|,korea-south,9037,76
Argentina,,,|,korea-south,9137,100
Argentina,,,|,korea-south,9241,104
Argentina,,,|,korea-south,9332,91
Argentina,,,|,korea-south,9478,146
Argentina,,,|,korea-south,9583,105
Argentina,,,|,korea-south,9661,78
Argentina,,,|,korea-south,9786,125
Argentina,,,|,korea-south,9887,101
Argentina,,,|,korea-south,9976,89
Argentina,,,|,korea-south,10062,86
Argentina,,,|,korea-south,10156,94
Argentina,,,|,korea-south,10237,81
Argentina,,,|,korea-south,10284,47
Argentina,,,|,korea-south,10331,47
Argentina,,,|,korea-south,10384,53
Argentina,,,|,korea-south,10423,39
Argentina,,,|,korea-south,10450,27
Argentina,,,|,korea-south,10480,30
