Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Argentina,1,,|,new-zealand,1,-1311
Argentina,1,0,|,new-zealand,1,0
Argentina,1,0,|,new-zealand,1,0
Argentina,2,1,|,new-zealand,1,0
Argentina,8,6,|,new-zealand,1,0
Argentina,12,4,|,new-zealand,3,2
Argentina,12,0,|,new-zealand,3,0
Argentina,17,5,|,new-zealand,4,1
Argentina,19,2,|,new-zealand,5,1
Argentina,19,0,|,new-zealand,5,0
Argentina,31,12,|,new-zealand,5,0
Argentina,34,3,|,new-zealand,5,0
Argentina,45,11,|,new-zealand,5,0
Argentina,56,11,|,new-zealand,5,0
Argentina,68,12,|,new-zealand,5,0
Argentina,79,11,|,new-zealand,6,1
Argentina,97,18,|,new-zealand,8,2
Argentina,128,31,|,new-zealand,8,0
Argentina,158,30,|,new-zealand,12,4
Argentina,266,108,|,new-zealand,20,8
Argentina,301,35,|,new-zealand,28,8
Argentina,387,86,|,new-zealand,39,11
Argentina,387,0,|,new-zealand,52,13
Argentina,502,115,|,new-zealand,102,50
Argentina,589,87,|,new-zealand,102,0
Argentina,690,101,|,new-zealand,155,53
Argentina,745,55,|,new-zealand,205,50
Argentina,820,75,|,new-zealand,283,78
Argentina,1054,234,|,new-zealand,368,85
Argentina,1054,0,|,new-zealand,451,83
Argentina,1133,79,|,new-zealand,514,63
Argentina,1265,132,|,new-zealand,589,75
Argentina,1451,186,|,new-zealand,647,58
Argentina,1451,0,|,new-zealand,708,61
Argentina,1554,103,|,new-zealand,797,89
Argentina,1628,74,|,new-zealand,868,71
Argentina,1715,87,|,new-zealand,950,82
Argentina,1795,80,|,new-zealand,1039,89
Argentina,1975,180,|,new-zealand,1106,67
Argentina,1975,0,|,new-zealand,1160,54
Argentina,,,|,new-zealand,1210,50
Argentina,,,|,new-zealand,1239,29
Argentina,,,|,new-zealand,1283,44
Argentina,,,|,new-zealand,1312,29
