Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Argentina,97,,|,pakistan,2,-5009
Argentina,128,31,|,pakistan,2,0
Argentina,158,30,|,pakistan,2,0
Argentina,266,108,|,pakistan,4,2
Argentina,301,35,|,pakistan,4,0
Argentina,387,86,|,pakistan,4,0
Argentina,387,0,|,pakistan,5,1
Argentina,502,115,|,pakistan,5,0
Argentina,589,87,|,pakistan,5,0
Argentina,690,101,|,pakistan,6,1
Argentina,745,55,|,pakistan,6,0
Argentina,820,75,|,pakistan,6,0
Argentina,1054,234,|,pakistan,6,0
Argentina,1054,0,|,pakistan,16,10
Argentina,1133,79,|,pakistan,19,3
Argentina,1265,132,|,pakistan,20,1
Argentina,1451,186,|,pakistan,28,8
Argentina,1451,0,|,pakistan,31,3
Argentina,1554,103,|,pakistan,53,22
Argentina,1628,74,|,pakistan,136,83
Argentina,1715,87,|,pakistan,236,100
Argentina,1795,80,|,pakistan,299,63
Argentina,1975,180,|,pakistan,454,155
Argentina,,,|,pakistan,501,47
Argentina,,,|,pakistan,730,229
Argentina,,,|,pakistan,776,46
Argentina,,,|,pakistan,875,99
Argentina,,,|,pakistan,972,97
Argentina,,,|,pakistan,1063,91
Argentina,,,|,pakistan,1201,138
Argentina,,,|,pakistan,1373,172
Argentina,,,|,pakistan,1495,122
Argentina,,,|,pakistan,1597,102
Argentina,,,|,pakistan,1717,120
Argentina,,,|,pakistan,1938,221
Argentina,,,|,pakistan,2118,180
Argentina,,,|,pakistan,2421,303
Argentina,,,|,pakistan,2686,265
Argentina,,,|,pakistan,2818,132
Argentina,,,|,pakistan,3157,339
Argentina,,,|,pakistan,3766,609
Argentina,,,|,pakistan,4035,269
Argentina,,,|,pakistan,4263,228
Argentina,,,|,pakistan,4489,226
Argentina,,,|,pakistan,4695,206
Argentina,,,|,pakistan,5011,316
