Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Argentina,128,,|,panama,1,-2973
Argentina,158,30,|,panama,8,7
Argentina,266,108,|,panama,11,3
Argentina,301,35,|,panama,27,16
Argentina,387,86,|,panama,36,9
Argentina,387,0,|,panama,43,7
Argentina,502,115,|,panama,55,12
Argentina,589,87,|,panama,69,14
Argentina,690,101,|,panama,86,17
Argentina,745,55,|,panama,109,23
Argentina,820,75,|,panama,137,28
Argentina,1054,234,|,panama,200,63
Argentina,1054,0,|,panama,313,113
Argentina,1133,79,|,panama,345,32
Argentina,1265,132,|,panama,345,0
Argentina,1451,186,|,panama,443,98
Argentina,1451,0,|,panama,558,115
Argentina,1554,103,|,panama,674,116
Argentina,1628,74,|,panama,786,112
Argentina,1715,87,|,panama,901,115
Argentina,1795,80,|,panama,989,88
Argentina,1975,180,|,panama,1181,192
Argentina,,,|,panama,1181,0
Argentina,,,|,panama,1317,136
Argentina,,,|,panama,1475,158
Argentina,,,|,panama,1673,198
Argentina,,,|,panama,1801,128
Argentina,,,|,panama,1988,187
Argentina,,,|,panama,2100,112
Argentina,,,|,panama,2249,149
Argentina,,,|,panama,2528,279
Argentina,,,|,panama,2752,224
Argentina,,,|,panama,2974,222
