Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Argentina,502,,|,portugal,2,-15985
Argentina,589,87,|,portugal,2,0
Argentina,690,101,|,portugal,5,3
Argentina,745,55,|,portugal,8,3
Argentina,820,75,|,portugal,13,5
Argentina,1054,234,|,portugal,20,7
Argentina,1054,0,|,portugal,30,10
Argentina,1133,79,|,portugal,30,0
Argentina,1265,132,|,portugal,41,11
Argentina,1451,186,|,portugal,59,18
Argentina,1451,0,|,portugal,59,0
Argentina,1554,103,|,portugal,112,53
Argentina,1628,74,|,portugal,169,57
Argentina,1715,87,|,portugal,245,76
Argentina,1795,80,|,portugal,331,86
Argentina,1975,180,|,portugal,448,117
Argentina,,,|,portugal,448,0
Argentina,,,|,portugal,785,337
Argentina,,,|,portugal,1020,235
Argentina,,,|,portugal,1280,260
Argentina,,,|,portugal,1600,320
Argentina,,,|,portugal,2060,460
Argentina,,,|,portugal,2362,302
Argentina,,,|,portugal,2995,633
Argentina,,,|,portugal,3544,549
Argentina,,,|,portugal,4268,724
Argentina,,,|,portugal,5170,902
Argentina,,,|,portugal,5962,792
Argentina,,,|,portugal,6408,446
Argentina,,,|,portugal,7443,1035
Argentina,,,|,portugal,8251,808
Argentina,,,|,portugal,9034,783
Argentina,,,|,portugal,9886,852
Argentina,,,|,portugal,10524,638
Argentina,,,|,portugal,11278,754
Argentina,,,|,portugal,11730,452
Argentina,,,|,portugal,12442,712
Argentina,,,|,portugal,13141,699
Argentina,,,|,portugal,13956,815
Argentina,,,|,portugal,15472,1516
Argentina,,,|,portugal,15987,515
