Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Bahrain,,,|,finland,1,-2904
Bahrain,,,|,finland,1,0
Bahrain,,,|,finland,1,0
Bahrain,,,|,finland,1,0
Bahrain,,,|,finland,1,0
Bahrain,1,,|,finland,1,0
Bahrain,23,22,|,finland,1,0
Bahrain,33,10,|,finland,1,0
Bahrain,33,0,|,finland,1,0
Bahrain,36,3,|,finland,1,0
Bahrain,41,5,|,finland,1,0
Bahrain,47,6,|,finland,1,0
Bahrain,49,2,|,finland,1,0
Bahrain,49,0,|,finland,1,0
Bahrain,52,3,|,finland,1,0
Bahrain,55,3,|,finland,1,0
Bahrain,60,5,|,finland,1,0
Bahrain,85,25,|,finland,1,0
Bahrain,85,0,|,finland,1,0
Bahrain,95,10,|,finland,1,0
Bahrain,110,15,|,finland,1,0
Bahrain,195,85,|,finland,1,0
Bahrain,195,0,|,finland,1,0
Bahrain,195,0,|,finland,1,0
Bahrain,210,15,|,finland,1,0
Bahrain,214,4,|,finland,1,0
Bahrain,214,0,|,finland,1,0
Bahrain,228,14,|,finland,1,0
Bahrain,256,28,|,finland,2,1
Bahrain,278,22,|,finland,2,0
Bahrain,285,7,|,finland,2,0
Bahrain,305,20,|,finland,3,1
Bahrain,334,29,|,finland,6,3
Bahrain,377,43,|,finland,6,0
Bahrain,392,15,|,finland,6,0
Bahrain,419,27,|,finland,6,0
Bahrain,458,39,|,finland,12,6
Bahrain,466,8,|,finland,15,3
Bahrain,476,10,|,finland,15,0
Bahrain,499,23,|,finland,23,8
Bahrain,515,16,|,finland,30,7
Bahrain,567,52,|,finland,40,10
Bahrain,569,2,|,finland,59,19
Bahrain,643,74,|,finland,59,0
Bahrain,672,29,|,finland,155,96
Bahrain,688,16,|,finland,225,70
Bahrain,700,12,|,finland,244,19
Bahrain,756,56,|,finland,277,33
Bahrain,811,55,|,finland,321,44
Bahrain,823,12,|,finland,336,15
Bahrain,887,64,|,finland,400,64
Bahrain,925,38,|,finland,450,50
Bahrain,1040,115,|,finland,523,73
Bahrain,,,|,finland,626,103
Bahrain,,,|,finland,700,74
Bahrain,,,|,finland,792,92
Bahrain,,,|,finland,880,88
Bahrain,,,|,finland,958,78
Bahrain,,,|,finland,1041,83
Bahrain,,,|,finland,1167,126
Bahrain,,,|,finland,1240,73
Bahrain,,,|,finland,1352,112
Bahrain,,,|,finland,1418,66
Bahrain,,,|,finland,1446,28
Bahrain,,,|,finland,1518,72
Bahrain,,,|,finland,1615,97
Bahrain,,,|,finland,1882,267
Bahrain,,,|,finland,1927,45
Bahrain,,,|,finland,2176,249
Bahrain,,,|,finland,2308,132
Bahrain,,,|,finland,2487,179
Bahrain,,,|,finland,2605,118
Bahrain,,,|,finland,2769,164
Bahrain,,,|,finland,2905,136
