Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Bahrain,228,,|,greece,1,-2080
Bahrain,256,28,|,greece,3,2
Bahrain,278,22,|,greece,4,1
Bahrain,285,7,|,greece,4,0
Bahrain,305,20,|,greece,7,3
Bahrain,334,29,|,greece,7,0
Bahrain,377,43,|,greece,7,0
Bahrain,392,15,|,greece,9,2
Bahrain,419,27,|,greece,31,22
Bahrain,458,39,|,greece,45,14
Bahrain,466,8,|,greece,46,1
Bahrain,476,10,|,greece,73,27
Bahrain,499,23,|,greece,73,0
Bahrain,515,16,|,greece,89,16
Bahrain,567,52,|,greece,99,10
Bahrain,569,2,|,greece,99,0
Bahrain,643,74,|,greece,190,91
Bahrain,672,29,|,greece,228,38
Bahrain,688,16,|,greece,331,103
Bahrain,700,12,|,greece,331,0
Bahrain,756,56,|,greece,387,56
Bahrain,811,55,|,greece,418,31
Bahrain,823,12,|,greece,418,0
Bahrain,887,64,|,greece,495,77
Bahrain,925,38,|,greece,530,35
Bahrain,,,|,greece,624,94
Bahrain,,,|,greece,695,71
Bahrain,,,|,greece,743,48
Bahrain,,,|,greece,821,78
Bahrain,,,|,greece,892,71
Bahrain,,,|,greece,966,74
Bahrain,,,|,greece,1061,95
Bahrain,,,|,greece,1156,95
Bahrain,,,|,greece,1212,56
Bahrain,,,|,greece,1314,102
Bahrain,,,|,greece,1415,101
Bahrain,,,|,greece,1544,129
Bahrain,,,|,greece,1613,69
Bahrain,,,|,greece,1673,60
Bahrain,,,|,greece,1735,62
Bahrain,,,|,greece,1755,20
Bahrain,,,|,greece,1832,77
Bahrain,,,|,greece,1884,52
Bahrain,,,|,greece,1955,71
Bahrain,,,|,greece,2011,56
Bahrain,,,|,greece,2081,70
