Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Bahrain,60,,|,hungary,2,-1308
Bahrain,85,25,|,hungary,2,0
Bahrain,85,0,|,hungary,2,0
Bahrain,95,10,|,hungary,4,2
Bahrain,110,15,|,hungary,7,3
Bahrain,195,85,|,hungary,9,2
Bahrain,195,0,|,hungary,9,0
Bahrain,195,0,|,hungary,13,4
Bahrain,210,15,|,hungary,13,0
Bahrain,214,4,|,hungary,19,6
Bahrain,214,0,|,hungary,30,11
Bahrain,228,14,|,hungary,32,2
Bahrain,256,28,|,hungary,39,7
Bahrain,278,22,|,hungary,50,11
Bahrain,285,7,|,hungary,58,8
Bahrain,305,20,|,hungary,73,15
Bahrain,334,29,|,hungary,85,12
Bahrain,377,43,|,hungary,103,18
Bahrain,392,15,|,hungary,131,28
Bahrain,419,27,|,hungary,167,36
Bahrain,458,39,|,hungary,187,20
Bahrain,466,8,|,hungary,226,39
Bahrain,476,10,|,hungary,261,35
Bahrain,499,23,|,hungary,300,39
Bahrain,515,16,|,hungary,343,43
Bahrain,567,52,|,hungary,408,65
Bahrain,569,2,|,hungary,447,39
Bahrain,643,74,|,hungary,492,45
Bahrain,672,29,|,hungary,525,33
Bahrain,688,16,|,hungary,585,60
Bahrain,700,12,|,hungary,623,38
Bahrain,756,56,|,hungary,678,55
Bahrain,811,55,|,hungary,733,55
Bahrain,823,12,|,hungary,744,11
Bahrain,887,64,|,hungary,817,73
Bahrain,925,38,|,hungary,895,78
Bahrain,,,|,hungary,980,85
Bahrain,,,|,hungary,1190,210
Bahrain,,,|,hungary,1310,120
