Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Bahrain,214,,|,israel,1,-10742
Bahrain,214,0,|,israel,1,0
Bahrain,228,14,|,israel,1,0
Bahrain,256,28,|,israel,1,0
Bahrain,278,22,|,israel,1,0
Bahrain,285,7,|,israel,2,1
Bahrain,305,20,|,israel,3,1
Bahrain,334,29,|,israel,4,1
Bahrain,377,43,|,israel,7,3
Bahrain,392,15,|,israel,10,3
Bahrain,419,27,|,israel,10,0
Bahrain,458,39,|,israel,12,2
Bahrain,466,8,|,israel,15,3
Bahrain,476,10,|,israel,20,5
Bahrain,499,23,|,israel,37,17
Bahrain,515,16,|,israel,43,6
Bahrain,567,52,|,israel,61,18
Bahrain,569,2,|,israel,61,0
Bahrain,643,74,|,israel,75,14
Bahrain,672,29,|,israel,79,4
Bahrain,688,16,|,israel,100,21
Bahrain,700,12,|,israel,126,26
Bahrain,756,56,|,israel,155,29
Bahrain,811,55,|,israel,213,58
Bahrain,823,12,|,israel,218,5
Bahrain,887,64,|,israel,250,32
Bahrain,925,38,|,israel,304,54
Bahrain,,,|,israel,427,123
Bahrain,,,|,israel,529,102
Bahrain,,,|,israel,712,183
Bahrain,,,|,israel,883,171
Bahrain,,,|,israel,1071,188
Bahrain,,,|,israel,1238,167
Bahrain,,,|,israel,2369,1131
Bahrain,,,|,israel,2693,324
Bahrain,,,|,israel,3035,342
Bahrain,,,|,israel,3619,584
Bahrain,,,|,israel,4247,628
Bahrain,,,|,israel,4695,448
Bahrain,,,|,israel,5358,663
Bahrain,,,|,israel,6092,734
Bahrain,,,|,israel,6857,765
Bahrain,,,|,israel,7428,571
Bahrain,,,|,israel,7851,423
Bahrain,,,|,israel,8430,579
Bahrain,,,|,israel,8904,474
Bahrain,,,|,israel,9248,344
Bahrain,,,|,israel,9404,156
Bahrain,,,|,israel,9968,564
Bahrain,,,|,israel,10408,440
Bahrain,,,|,israel,10743,335
