Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Bahrain,256,,|,kazakhstan,4,-861
Bahrain,278,22,|,kazakhstan,6,2
Bahrain,285,7,|,kazakhstan,9,3
Bahrain,305,20,|,kazakhstan,10,1
Bahrain,334,29,|,kazakhstan,33,23
Bahrain,377,43,|,kazakhstan,35,2
Bahrain,392,15,|,kazakhstan,44,9
Bahrain,419,27,|,kazakhstan,49,5
Bahrain,458,39,|,kazakhstan,53,4
Bahrain,466,8,|,kazakhstan,60,7
Bahrain,476,10,|,kazakhstan,62,2
Bahrain,499,23,|,kazakhstan,72,10
Bahrain,515,16,|,kazakhstan,81,9
Bahrain,567,52,|,kazakhstan,111,30
Bahrain,569,2,|,kazakhstan,150,39
Bahrain,643,74,|,kazakhstan,228,78
Bahrain,672,29,|,kazakhstan,284,56
Bahrain,688,16,|,kazakhstan,302,18
Bahrain,700,12,|,kazakhstan,343,41
Bahrain,756,56,|,kazakhstan,380,37
Bahrain,811,55,|,kazakhstan,435,55
Bahrain,823,12,|,kazakhstan,464,29
Bahrain,887,64,|,kazakhstan,531,67
Bahrain,925,38,|,kazakhstan,584,53
Bahrain,,,|,kazakhstan,662,78
Bahrain,,,|,kazakhstan,697,35
Bahrain,,,|,kazakhstan,727,30
Bahrain,,,|,kazakhstan,781,54
Bahrain,,,|,kazakhstan,812,31
Bahrain,,,|,kazakhstan,865,53
