Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Bahrain,195,,|,lithuania,1,-1025
Bahrain,195,0,|,lithuania,1,0
Bahrain,210,15,|,lithuania,1,0
Bahrain,214,4,|,lithuania,1,0
Bahrain,214,0,|,lithuania,1,0
Bahrain,228,14,|,lithuania,1,0
Bahrain,256,28,|,lithuania,1,0
Bahrain,278,22,|,lithuania,1,0
Bahrain,285,7,|,lithuania,1,0
Bahrain,305,20,|,lithuania,1,0
Bahrain,334,29,|,lithuania,1,0
Bahrain,377,43,|,lithuania,1,0
Bahrain,392,15,|,lithuania,3,2
Bahrain,419,27,|,lithuania,3,0
Bahrain,458,39,|,lithuania,6,3
Bahrain,466,8,|,lithuania,8,2
Bahrain,476,10,|,lithuania,12,4
Bahrain,499,23,|,lithuania,17,5
Bahrain,515,16,|,lithuania,25,8
Bahrain,567,52,|,lithuania,27,2
Bahrain,569,2,|,lithuania,36,9
Bahrain,643,74,|,lithuania,49,13
Bahrain,672,29,|,lithuania,83,34
Bahrain,688,16,|,lithuania,143,60
Bahrain,700,12,|,lithuania,179,36
Bahrain,756,56,|,lithuania,209,30
Bahrain,811,55,|,lithuania,274,65
Bahrain,823,12,|,lithuania,299,25
Bahrain,887,64,|,lithuania,358,59
Bahrain,925,38,|,lithuania,394,36
Bahrain,,,|,lithuania,460,66
Bahrain,,,|,lithuania,491,31
Bahrain,,,|,lithuania,537,46
Bahrain,,,|,lithuania,581,44
Bahrain,,,|,lithuania,649,68
Bahrain,,,|,lithuania,696,47
Bahrain,,,|,lithuania,771,75
Bahrain,,,|,lithuania,811,40
Bahrain,,,|,lithuania,843,32
Bahrain,,,|,lithuania,880,37
Bahrain,,,|,lithuania,912,32
Bahrain,,,|,lithuania,955,43
Bahrain,,,|,lithuania,999,44
Bahrain,,,|,lithuania,1026,27
