Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Bahrain,,,|,singapore,1,-2298
Bahrain,,,|,singapore,3,2
Bahrain,,,|,singapore,3,0
Bahrain,,,|,singapore,4,1
Bahrain,,,|,singapore,5,1
Bahrain,,,|,singapore,7,2
Bahrain,,,|,singapore,7,0
Bahrain,,,|,singapore,10,3
Bahrain,,,|,singapore,13,3
Bahrain,,,|,singapore,16,3
Bahrain,,,|,singapore,18,2
Bahrain,,,|,singapore,18,0
Bahrain,,,|,singapore,24,6
Bahrain,,,|,singapore,28,4
Bahrain,,,|,singapore,28,0
Bahrain,1,,|,singapore,30,2
Bahrain,23,22,|,singapore,33,3
Bahrain,33,10,|,singapore,40,7
Bahrain,33,0,|,singapore,45,5
Bahrain,36,3,|,singapore,47,2
Bahrain,41,5,|,singapore,50,3
Bahrain,47,6,|,singapore,58,8
Bahrain,49,2,|,singapore,67,9
Bahrain,49,0,|,singapore,72,5
Bahrain,52,3,|,singapore,75,3
Bahrain,55,3,|,singapore,77,2
Bahrain,60,5,|,singapore,81,4
Bahrain,85,25,|,singapore,84,3
Bahrain,85,0,|,singapore,84,0
Bahrain,95,10,|,singapore,85,1
Bahrain,110,15,|,singapore,85,0
Bahrain,195,85,|,singapore,89,4
Bahrain,195,0,|,singapore,89,0
Bahrain,195,0,|,singapore,91,2
Bahrain,210,15,|,singapore,93,2
Bahrain,214,4,|,singapore,93,0
Bahrain,214,0,|,singapore,93,0
Bahrain,228,14,|,singapore,102,9
Bahrain,256,28,|,singapore,106,4
Bahrain,278,22,|,singapore,108,2
Bahrain,285,7,|,singapore,110,2
Bahrain,305,20,|,singapore,110,0
Bahrain,334,29,|,singapore,117,7
Bahrain,377,43,|,singapore,130,13
Bahrain,392,15,|,singapore,138,8
Bahrain,419,27,|,singapore,150,12
Bahrain,458,39,|,singapore,150,0
Bahrain,466,8,|,singapore,160,10
Bahrain,476,10,|,singapore,178,18
Bahrain,499,23,|,singapore,178,0
Bahrain,515,16,|,singapore,200,22
Bahrain,567,52,|,singapore,212,12
Bahrain,569,2,|,singapore,226,14
Bahrain,643,74,|,singapore,243,17
Bahrain,672,29,|,singapore,266,23
Bahrain,688,16,|,singapore,313,47
Bahrain,700,12,|,singapore,345,32
Bahrain,756,56,|,singapore,385,40
Bahrain,811,55,|,singapore,432,47
Bahrain,823,12,|,singapore,455,23
Bahrain,887,64,|,singapore,509,54
Bahrain,925,38,|,singapore,558,49
Bahrain,1040,115,|,singapore,631,73
Bahrain,,,|,singapore,683,52
Bahrain,,,|,singapore,732,49
Bahrain,,,|,singapore,802,70
Bahrain,,,|,singapore,844,42
Bahrain,,,|,singapore,879,35
Bahrain,,,|,singapore,926,47
Bahrain,,,|,singapore,1000,74
Bahrain,,,|,singapore,1049,49
Bahrain,,,|,singapore,1114,65
Bahrain,,,|,singapore,1189,75
Bahrain,,,|,singapore,1309,120
Bahrain,,,|,singapore,1375,66
Bahrain,,,|,singapore,1481,106
Bahrain,,,|,singapore,1623,142
Bahrain,,,|,singapore,1910,287
Bahrain,,,|,singapore,2108,198
Bahrain,,,|,singapore,2299,191
