Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Bahrain,95,,|,slovakia,1,-727
Bahrain,110,15,|,slovakia,1,0
Bahrain,195,85,|,slovakia,3,2
Bahrain,195,0,|,slovakia,3,0
Bahrain,195,0,|,slovakia,7,4
Bahrain,210,15,|,slovakia,10,3
Bahrain,214,4,|,slovakia,16,6
Bahrain,214,0,|,slovakia,32,16
Bahrain,228,14,|,slovakia,44,12
Bahrain,256,28,|,slovakia,54,10
Bahrain,278,22,|,slovakia,63,9
Bahrain,285,7,|,slovakia,72,9
Bahrain,305,20,|,slovakia,105,33
Bahrain,334,29,|,slovakia,123,18
Bahrain,377,43,|,slovakia,137,14
Bahrain,392,15,|,slovakia,178,41
Bahrain,419,27,|,slovakia,185,7
Bahrain,458,39,|,slovakia,186,1
Bahrain,466,8,|,slovakia,204,18
Bahrain,476,10,|,slovakia,216,12
Bahrain,499,23,|,slovakia,226,10
Bahrain,515,16,|,slovakia,269,43
Bahrain,567,52,|,slovakia,292,23
Bahrain,569,2,|,slovakia,314,22
Bahrain,643,74,|,slovakia,336,22
Bahrain,672,29,|,slovakia,363,27
Bahrain,688,16,|,slovakia,400,37
Bahrain,700,12,|,slovakia,426,26
Bahrain,756,56,|,slovakia,450,24
Bahrain,811,55,|,slovakia,471,21
Bahrain,823,12,|,slovakia,485,14
Bahrain,887,64,|,slovakia,534,49
Bahrain,925,38,|,slovakia,581,47
Bahrain,,,|,slovakia,682,101
Bahrain,,,|,slovakia,701,19
Bahrain,,,|,slovakia,715,14
Bahrain,,,|,slovakia,728,13
