Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Bahrain,,,|,united-arab-emirates,4,-3732
Bahrain,,,|,united-arab-emirates,4,0
Bahrain,,,|,united-arab-emirates,4,0
Bahrain,,,|,united-arab-emirates,4,0
Bahrain,,,|,united-arab-emirates,5,1
Bahrain,,,|,united-arab-emirates,5,0
Bahrain,,,|,united-arab-emirates,5,0
Bahrain,,,|,united-arab-emirates,5,0
Bahrain,,,|,united-arab-emirates,5,0
Bahrain,,,|,united-arab-emirates,5,0
Bahrain,,,|,united-arab-emirates,7,2
Bahrain,,,|,united-arab-emirates,7,0
Bahrain,,,|,united-arab-emirates,8,1
Bahrain,1,,|,united-arab-emirates,8,0
Bahrain,23,22,|,united-arab-emirates,8,0
Bahrain,33,10,|,united-arab-emirates,8,0
Bahrain,33,0,|,united-arab-emirates,8,0
Bahrain,36,3,|,united-arab-emirates,8,0
Bahrain,41,5,|,united-arab-emirates,9,1
Bahrain,47,6,|,united-arab-emirates,9,0
Bahrain,49,2,|,united-arab-emirates,9,0
Bahrain,49,0,|,united-arab-emirates,9,0
Bahrain,52,3,|,united-arab-emirates,9,0
Bahrain,55,3,|,united-arab-emirates,9,0
Bahrain,60,5,|,united-arab-emirates,13,4
Bahrain,85,25,|,united-arab-emirates,13,0
Bahrain,85,0,|,united-arab-emirates,13,0
Bahrain,95,10,|,united-arab-emirates,13,0
Bahrain,110,15,|,united-arab-emirates,13,0
Bahrain,195,85,|,united-arab-emirates,13,0
Bahrain,195,0,|,united-arab-emirates,19,6
Bahrain,195,0,|,united-arab-emirates,21,2
Bahrain,210,15,|,united-arab-emirates,21,0
Bahrain,214,4,|,united-arab-emirates,21,0
Bahrain,214,0,|,united-arab-emirates,27,6
Bahrain,228,14,|,united-arab-emirates,27,0
Bahrain,256,28,|,united-arab-emirates,29,2
Bahrain,278,22,|,united-arab-emirates,29,0
Bahrain,285,7,|,united-arab-emirates,45,16
Bahrain,305,20,|,united-arab-emirates,45,0
Bahrain,334,29,|,united-arab-emirates,45,0
Bahrain,377,43,|,united-arab-emirates,74,29
Bahrain,392,15,|,united-arab-emirates,74,0
Bahrain,419,27,|,united-arab-emirates,85,11
Bahrain,458,39,|,united-arab-emirates,85,0
Bahrain,466,8,|,united-arab-emirates,85,0
Bahrain,476,10,|,united-arab-emirates,98,13
Bahrain,499,23,|,united-arab-emirates,98,0
Bahrain,515,16,|,united-arab-emirates,98,0
Bahrain,567,52,|,united-arab-emirates,113,15
Bahrain,569,2,|,united-arab-emirates,140,27
Bahrain,643,74,|,united-arab-emirates,140,0
Bahrain,672,29,|,united-arab-emirates,153,13
Bahrain,688,16,|,united-arab-emirates,153,0
Bahrain,700,12,|,united-arab-emirates,198,45
Bahrain,756,56,|,united-arab-emirates,248,50
Bahrain,811,55,|,united-arab-emirates,333,85
Bahrain,823,12,|,united-arab-emirates,333,0
Bahrain,887,64,|,united-arab-emirates,405,72
Bahrain,925,38,|,united-arab-emirates,468,63
Bahrain,1040,115,|,united-arab-emirates,570,102
Bahrain,,,|,united-arab-emirates,611,41
Bahrain,,,|,united-arab-emirates,664,53
Bahrain,,,|,united-arab-emirates,814,150
Bahrain,,,|,united-arab-emirates,1024,210
Bahrain,,,|,united-arab-emirates,1264,240
Bahrain,,,|,united-arab-emirates,1505,241
Bahrain,,,|,united-arab-emirates,1799,294
Bahrain,,,|,united-arab-emirates,2076,277
Bahrain,,,|,united-arab-emirates,2359,283
Bahrain,,,|,united-arab-emirates,2659,300
Bahrain,,,|,united-arab-emirates,2990,331
Bahrain,,,|,united-arab-emirates,3360,370
Bahrain,,,|,united-arab-emirates,3736,376
