Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Bahrain,33,,|,united-states,1,-526390
Bahrain,36,3,|,united-states,2,1
Bahrain,41,5,|,united-states,2,0
Bahrain,47,6,|,united-states,5,3
Bahrain,49,2,|,united-states,5,0
Bahrain,49,0,|,united-states,5,0
Bahrain,52,3,|,united-states,5,0
Bahrain,55,3,|,united-states,5,0
Bahrain,60,5,|,united-states,7,2
Bahrain,85,25,|,united-states,8,1
Bahrain,85,0,|,united-states,8,0
Bahrain,95,10,|,united-states,11,3
Bahrain,110,15,|,united-states,11,0
Bahrain,195,85,|,united-states,11,0
Bahrain,195,0,|,united-states,11,0
Bahrain,195,0,|,united-states,11,0
Bahrain,210,15,|,united-states,11,0
Bahrain,214,4,|,united-states,11,0
Bahrain,214,0,|,united-states,11,0
Bahrain,228,14,|,united-states,12,1
Bahrain,256,28,|,united-states,12,0
Bahrain,278,22,|,united-states,13,1
Bahrain,285,7,|,united-states,13,0
Bahrain,305,20,|,united-states,13,0
Bahrain,334,29,|,united-states,13,0
Bahrain,377,43,|,united-states,13,0
Bahrain,392,15,|,united-states,13,0
Bahrain,419,27,|,united-states,13,0
Bahrain,458,39,|,united-states,13,0
Bahrain,466,8,|,united-states,15,2
Bahrain,476,10,|,united-states,15,0
Bahrain,499,23,|,united-states,15,0
Bahrain,515,16,|,united-states,15,0
Bahrain,567,52,|,united-states,15,0
Bahrain,569,2,|,united-states,15,0
Bahrain,643,74,|,united-states,16,1
Bahrain,672,29,|,united-states,16,0
Bahrain,688,16,|,united-states,24,8
Bahrain,700,12,|,united-states,30,6
Bahrain,756,56,|,united-states,53,23
Bahrain,811,55,|,united-states,73,20
Bahrain,823,12,|,united-states,104,31
Bahrain,887,64,|,united-states,172,68
Bahrain,925,38,|,united-states,217,45
Bahrain,,,|,united-states,336,119
Bahrain,,,|,united-states,450,114
Bahrain,,,|,united-states,514,64
Bahrain,,,|,united-states,708,194
Bahrain,,,|,united-states,1105,397
Bahrain,,,|,united-states,1557,452
Bahrain,,,|,united-states,2147,590
Bahrain,,,|,united-states,2857,710
Bahrain,,,|,united-states,2918,61
Bahrain,,,|,united-states,4307,1389
Bahrain,,,|,united-states,6096,1789
Bahrain,,,|,united-states,8873,2777
Bahrain,,,|,united-states,14024,5151
Bahrain,,,|,united-states,19230,5206
Bahrain,,,|,united-states,25627,6397
Bahrain,,,|,united-states,33621,7994
Bahrain,,,|,united-states,43663,10042
Bahrain,,,|,united-states,53736,10073
Bahrain,,,|,united-states,65778,12042
Bahrain,,,|,united-states,83836,18058
Bahrain,,,|,united-states,101657,17821
Bahrain,,,|,united-states,121478,19821
Bahrain,,,|,united-states,140886,19408
Bahrain,,,|,united-states,161807,20921
Bahrain,,,|,united-states,188172,26365
Bahrain,,,|,united-states,213362,25190
Bahrain,,,|,united-states,243453,30091
Bahrain,,,|,united-states,275582,32129
Bahrain,,,|,united-states,337065,61483
Bahrain,,,|,united-states,366607,29542
Bahrain,,,|,united-states,396221,29614
Bahrain,,,|,united-states,429047,32826
Bahrain,,,|,united-states,461432,32385
Bahrain,,,|,united-states,496530,35098
Bahrain,,,|,united-states,526391,29861
