Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Benin,13,,|,brazil,1,-20726
Benin,13,0,|,brazil,1,0
Benin,16,3,|,brazil,1,0
Benin,16,0,|,brazil,2,1
Benin,22,6,|,brazil,2,0
Benin,26,4,|,brazil,2,0
Benin,26,0,|,brazil,2,0
Benin,26,0,|,brazil,4,2
Benin,26,0,|,brazil,4,0
Benin,35,9,|,brazil,13,9
Benin,,,|,brazil,13,0
Benin,,,|,brazil,20,7
Benin,,,|,brazil,25,5
Benin,,,|,brazil,31,6
Benin,,,|,brazil,38,7
Benin,,,|,brazil,52,14
Benin,,,|,brazil,151,99
Benin,,,|,brazil,151,0
Benin,,,|,brazil,162,11
Benin,,,|,brazil,200,38
Benin,,,|,brazil,321,121
Benin,,,|,brazil,372,51
Benin,,,|,brazil,621,249
Benin,,,|,brazil,793,172
Benin,,,|,brazil,1021,228
Benin,,,|,brazil,1546,525
Benin,,,|,brazil,1924,378
Benin,,,|,brazil,2247,323
Benin,,,|,brazil,2554,307
Benin,,,|,brazil,2985,431
Benin,,,|,brazil,3417,432
Benin,,,|,brazil,3904,487
Benin,,,|,brazil,4256,352
Benin,,,|,brazil,4579,323
Benin,,,|,brazil,5717,1138
Benin,,,|,brazil,6836,1119
Benin,,,|,brazil,8044,1208
Benin,,,|,brazil,9056,1012
Benin,,,|,brazil,10360,1304
Benin,,,|,brazil,11130,770
Benin,,,|,brazil,12161,1031
Benin,,,|,brazil,14034,1873
Benin,,,|,brazil,16170,2136
Benin,,,|,brazil,18092,1922
Benin,,,|,brazil,19638,1546
Benin,,,|,brazil,20727,1089
