Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Benin,13,,|,haiti,2,-31
Benin,13,0,|,haiti,2,0
Benin,16,3,|,haiti,2,0
Benin,16,0,|,haiti,6,4
Benin,22,6,|,haiti,7,1
Benin,26,4,|,haiti,8,1
Benin,26,0,|,haiti,8,0
Benin,26,0,|,haiti,8,0
Benin,26,0,|,haiti,8,0
Benin,35,9,|,haiti,15,7
Benin,,,|,haiti,15,0
Benin,,,|,haiti,15,0
Benin,,,|,haiti,16,1
Benin,,,|,haiti,16,0
Benin,,,|,haiti,18,2
Benin,,,|,haiti,20,2
Benin,,,|,haiti,21,1
Benin,,,|,haiti,24,3
Benin,,,|,haiti,25,1
Benin,,,|,haiti,27,2
Benin,,,|,haiti,30,3
Benin,,,|,haiti,31,1
Benin,,,|,haiti,33,2
