Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Benin,13,,|,korea-south,1,-10479
Benin,13,0,|,korea-south,1,0
Benin,16,3,|,korea-south,2,1
Benin,16,0,|,korea-south,2,0
Benin,22,6,|,korea-south,3,1
Benin,26,4,|,korea-south,4,1
Benin,26,0,|,korea-south,4,0
Benin,26,0,|,korea-south,4,0
Benin,26,0,|,korea-south,4,0
Benin,35,9,|,korea-south,11,7
Benin,,,|,korea-south,12,1
Benin,,,|,korea-south,15,3
Benin,,,|,korea-south,15,0
Benin,,,|,korea-south,16,1
Benin,,,|,korea-south,19,3
Benin,,,|,korea-south,23,4
Benin,,,|,korea-south,24,1
Benin,,,|,korea-south,24,0
Benin,,,|,korea-south,25,1
Benin,,,|,korea-south,27,2
Benin,,,|,korea-south,28,1
Benin,,,|,korea-south,28,0
Benin,,,|,korea-south,28,0
Benin,,,|,korea-south,28,0
Benin,,,|,korea-south,28,0
Benin,,,|,korea-south,29,1
Benin,,,|,korea-south,30,1
Benin,,,|,korea-south,31,1
Benin,,,|,korea-south,31,0
Benin,,,|,korea-south,104,73
Benin,,,|,korea-south,204,100
Benin,,,|,korea-south,433,229
Benin,,,|,korea-south,602,169
Benin,,,|,korea-south,833,231
Benin,,,|,korea-south,977,144
Benin,,,|,korea-south,1261,284
Benin,,,|,korea-south,1766,505
Benin,,,|,korea-south,2337,571
Benin,,,|,korea-south,3150,813
Benin,,,|,korea-south,3736,586
Benin,,,|,korea-south,4335,599
Benin,,,|,korea-south,5186,851
Benin,,,|,korea-south,5621,435
Benin,,,|,korea-south,6088,467
Benin,,,|,korea-south,6593,505
Benin,,,|,korea-south,7041,448
Benin,,,|,korea-south,7314,273
Benin,,,|,korea-south,7478,164
Benin,,,|,korea-south,7513,35
Benin,,,|,korea-south,7755,242
Benin,,,|,korea-south,7869,114
Benin,,,|,korea-south,7979,110
Benin,,,|,korea-south,8086,107
Benin,,,|,korea-south,8162,76
Benin,,,|,korea-south,8236,74
Benin,,,|,korea-south,8320,84
Benin,,,|,korea-south,8413,93
Benin,,,|,korea-south,8565,152
Benin,,,|,korea-south,8652,87
Benin,,,|,korea-south,8799,147
Benin,,,|,korea-south,8961,162
Benin,,,|,korea-south,8961,0
Benin,,,|,korea-south,9037,76
Benin,,,|,korea-south,9137,100
Benin,,,|,korea-south,9241,104
Benin,,,|,korea-south,9332,91
Benin,,,|,korea-south,9478,146
Benin,,,|,korea-south,9583,105
Benin,,,|,korea-south,9661,78
Benin,,,|,korea-south,9786,125
Benin,,,|,korea-south,9887,101
Benin,,,|,korea-south,9976,89
Benin,,,|,korea-south,10062,86
Benin,,,|,korea-south,10156,94
Benin,,,|,korea-south,10237,81
Benin,,,|,korea-south,10284,47
Benin,,,|,korea-south,10331,47
Benin,,,|,korea-south,10384,53
Benin,,,|,korea-south,10423,39
Benin,,,|,korea-south,10450,27
Benin,,,|,korea-south,10480,30
