Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Benin,6,,|,mongolia,1,-15
Benin,9,3,|,mongolia,1,0
Benin,13,4,|,mongolia,1,0
Benin,13,0,|,mongolia,1,0
Benin,16,3,|,mongolia,1,0
Benin,16,0,|,mongolia,1,0
Benin,22,6,|,mongolia,1,0
Benin,26,4,|,mongolia,5,4
Benin,26,0,|,mongolia,6,1
Benin,26,0,|,mongolia,6,0
Benin,26,0,|,mongolia,6,0
Benin,35,9,|,mongolia,10,4
Benin,,,|,mongolia,10,0
Benin,,,|,mongolia,10,0
Benin,,,|,mongolia,10,0
Benin,,,|,mongolia,10,0
Benin,,,|,mongolia,11,1
Benin,,,|,mongolia,11,0
Benin,,,|,mongolia,12,1
Benin,,,|,mongolia,12,0
Benin,,,|,mongolia,12,0
Benin,,,|,mongolia,12,0
Benin,,,|,mongolia,14,2
Benin,,,|,mongolia,14,0
Benin,,,|,mongolia,14,0
Benin,,,|,mongolia,14,0
Benin,,,|,mongolia,14,0
Benin,,,|,mongolia,15,1
Benin,,,|,mongolia,15,0
Benin,,,|,mongolia,16,1
Benin,,,|,mongolia,16,0
Benin,,,|,mongolia,16,0
Benin,,,|,mongolia,16,0
