Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Benin,6,,|,mozambique,1,-19
Benin,6,0,|,mozambique,1,0
Benin,6,0,|,mozambique,3,2
Benin,6,0,|,mozambique,5,2
Benin,6,0,|,mozambique,7,2
Benin,6,0,|,mozambique,7,0
Benin,6,0,|,mozambique,8,1
Benin,9,3,|,mozambique,8,0
Benin,13,4,|,mozambique,8,0
Benin,13,0,|,mozambique,8,0
Benin,16,3,|,mozambique,10,2
Benin,16,0,|,mozambique,10,0
Benin,22,6,|,mozambique,10,0
Benin,26,4,|,mozambique,10,0
Benin,26,0,|,mozambique,10,0
Benin,26,0,|,mozambique,10,0
Benin,26,0,|,mozambique,10,0
Benin,35,9,|,mozambique,17,7
Benin,,,|,mozambique,17,0
Benin,,,|,mozambique,20,3
Benin,,,|,mozambique,20,0
