Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Benin,,,|,russia,2,-13582
Benin,,,|,russia,2,0
Benin,,,|,russia,2,0
Benin,,,|,russia,2,0
Benin,,,|,russia,2,0
Benin,,,|,russia,2,0
Benin,,,|,russia,2,0
Benin,,,|,russia,2,0
Benin,,,|,russia,2,0
Benin,,,|,russia,2,0
Benin,1,,|,russia,2,0
Benin,1,0,|,russia,2,0
Benin,2,1,|,russia,2,0
Benin,2,0,|,russia,2,0
Benin,2,0,|,russia,2,0
Benin,2,0,|,russia,2,0
Benin,2,0,|,russia,2,0
Benin,5,3,|,russia,2,0
Benin,6,1,|,russia,2,0
Benin,6,0,|,russia,2,0
Benin,6,0,|,russia,2,0
Benin,6,0,|,russia,2,0
Benin,6,0,|,russia,2,0
Benin,6,0,|,russia,2,0
Benin,6,0,|,russia,2,0
Benin,9,3,|,russia,2,0
Benin,13,4,|,russia,2,0
Benin,13,0,|,russia,2,0
Benin,16,3,|,russia,2,0
Benin,16,0,|,russia,2,0
Benin,22,6,|,russia,2,0
Benin,26,4,|,russia,3,1
Benin,26,0,|,russia,3,0
Benin,26,0,|,russia,3,0
Benin,26,0,|,russia,4,1
Benin,35,9,|,russia,13,9
Benin,35,0,|,russia,13,0
Benin,,,|,russia,17,4
Benin,,,|,russia,17,0
Benin,,,|,russia,20,3
Benin,,,|,russia,20,0
Benin,,,|,russia,28,8
Benin,,,|,russia,45,17
Benin,,,|,russia,59,14
Benin,,,|,russia,63,4
Benin,,,|,russia,90,27
Benin,,,|,russia,114,24
Benin,,,|,russia,147,33
Benin,,,|,russia,199,52
Benin,,,|,russia,253,54
Benin,,,|,russia,306,53
Benin,,,|,russia,367,61
Benin,,,|,russia,438,71
Benin,,,|,russia,495,57
Benin,,,|,russia,658,163
Benin,,,|,russia,840,182
Benin,,,|,russia,1036,196
Benin,,,|,russia,1264,228
Benin,,,|,russia,1534,270
Benin,,,|,russia,1836,302
Benin,,,|,russia,2337,501
Benin,,,|,russia,2777,440
Benin,,,|,russia,3548,771
Benin,,,|,russia,4149,601
Benin,,,|,russia,4731,582
Benin,,,|,russia,5389,658
Benin,,,|,russia,6343,954
Benin,,,|,russia,7497,1154
Benin,,,|,russia,8672,1175
Benin,,,|,russia,10131,1459
Benin,,,|,russia,11917,1786
Benin,,,|,russia,13584,1667
