Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Benin,16,,|,rwanda,1,-119
Benin,22,6,|,rwanda,1,0
Benin,26,4,|,rwanda,5,4
Benin,26,0,|,rwanda,7,2
Benin,26,0,|,rwanda,8,1
Benin,26,0,|,rwanda,8,0
Benin,35,9,|,rwanda,17,9
Benin,,,|,rwanda,17,0
Benin,,,|,rwanda,19,2
Benin,,,|,rwanda,36,17
Benin,,,|,rwanda,40,4
Benin,,,|,rwanda,41,1
Benin,,,|,rwanda,50,9
Benin,,,|,rwanda,54,4
Benin,,,|,rwanda,60,6
Benin,,,|,rwanda,70,10
Benin,,,|,rwanda,70,0
Benin,,,|,rwanda,75,5
Benin,,,|,rwanda,82,7
Benin,,,|,rwanda,84,2
Benin,,,|,rwanda,89,5
Benin,,,|,rwanda,102,13
Benin,,,|,rwanda,104,2
Benin,,,|,rwanda,105,1
Benin,,,|,rwanda,105,0
Benin,,,|,rwanda,110,5
Benin,,,|,rwanda,110,0
Benin,,,|,rwanda,118,8
Benin,,,|,rwanda,120,2
