Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Benin,,,|,singapore,1,-2298
Benin,,,|,singapore,3,2
Benin,,,|,singapore,3,0
Benin,,,|,singapore,4,1
Benin,,,|,singapore,5,1
Benin,,,|,singapore,7,2
Benin,1,,|,singapore,7,0
Benin,1,0,|,singapore,10,3
Benin,2,1,|,singapore,13,3
Benin,2,0,|,singapore,16,3
Benin,2,0,|,singapore,18,2
Benin,2,0,|,singapore,18,0
Benin,2,0,|,singapore,24,6
Benin,5,3,|,singapore,28,4
Benin,6,1,|,singapore,28,0
Benin,6,0,|,singapore,30,2
Benin,6,0,|,singapore,33,3
Benin,6,0,|,singapore,40,7
Benin,6,0,|,singapore,45,5
Benin,6,0,|,singapore,47,2
Benin,6,0,|,singapore,50,3
Benin,9,3,|,singapore,58,8
Benin,13,4,|,singapore,67,9
Benin,13,0,|,singapore,72,5
Benin,16,3,|,singapore,75,3
Benin,16,0,|,singapore,77,2
Benin,22,6,|,singapore,81,4
Benin,26,4,|,singapore,84,3
Benin,26,0,|,singapore,84,0
Benin,26,0,|,singapore,85,1
Benin,26,0,|,singapore,85,0
Benin,35,9,|,singapore,89,4
Benin,35,0,|,singapore,89,0
Benin,,,|,singapore,91,2
Benin,,,|,singapore,93,2
Benin,,,|,singapore,93,0
Benin,,,|,singapore,93,0
Benin,,,|,singapore,102,9
Benin,,,|,singapore,106,4
Benin,,,|,singapore,108,2
Benin,,,|,singapore,110,2
Benin,,,|,singapore,110,0
Benin,,,|,singapore,117,7
Benin,,,|,singapore,130,13
Benin,,,|,singapore,138,8
Benin,,,|,singapore,150,12
Benin,,,|,singapore,150,0
Benin,,,|,singapore,160,10
Benin,,,|,singapore,178,18
Benin,,,|,singapore,178,0
Benin,,,|,singapore,200,22
Benin,,,|,singapore,212,12
Benin,,,|,singapore,226,14
Benin,,,|,singapore,243,17
Benin,,,|,singapore,266,23
Benin,,,|,singapore,313,47
Benin,,,|,singapore,345,32
Benin,,,|,singapore,385,40
Benin,,,|,singapore,432,47
Benin,,,|,singapore,455,23
Benin,,,|,singapore,509,54
Benin,,,|,singapore,558,49
Benin,,,|,singapore,631,73
Benin,,,|,singapore,683,52
Benin,,,|,singapore,732,49
Benin,,,|,singapore,802,70
Benin,,,|,singapore,844,42
Benin,,,|,singapore,879,35
Benin,,,|,singapore,926,47
Benin,,,|,singapore,1000,74
Benin,,,|,singapore,1049,49
Benin,,,|,singapore,1114,65
Benin,,,|,singapore,1189,75
Benin,,,|,singapore,1309,120
Benin,,,|,singapore,1375,66
Benin,,,|,singapore,1481,106
Benin,,,|,singapore,1623,142
Benin,,,|,singapore,1910,287
Benin,,,|,singapore,2108,198
Benin,,,|,singapore,2299,191
