Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Brazil,2,,|,netherlands,1,-24570
Brazil,4,2,|,netherlands,1,0
Brazil,4,0,|,netherlands,6,5
Brazil,13,9,|,netherlands,10,4
Brazil,13,0,|,netherlands,18,8
Brazil,20,7,|,netherlands,24,6
Brazil,25,5,|,netherlands,38,14
Brazil,31,6,|,netherlands,82,44
Brazil,38,7,|,netherlands,128,46
Brazil,52,14,|,netherlands,188,60
Brazil,151,99,|,netherlands,265,77
Brazil,151,0,|,netherlands,321,56
Brazil,162,11,|,netherlands,382,61
Brazil,200,38,|,netherlands,503,121
Brazil,321,121,|,netherlands,503,0
Brazil,372,51,|,netherlands,806,303
Brazil,621,249,|,netherlands,962,156
Brazil,793,172,|,netherlands,1138,176
Brazil,1021,228,|,netherlands,1416,278
Brazil,1546,525,|,netherlands,1711,295
Brazil,1924,378,|,netherlands,2058,347
Brazil,2247,323,|,netherlands,2467,409
Brazil,2554,307,|,netherlands,3003,536
Brazil,2985,431,|,netherlands,3640,637
Brazil,3417,432,|,netherlands,4217,577
Brazil,3904,487,|,netherlands,4764,547
Brazil,4256,352,|,netherlands,5580,816
Brazil,4579,323,|,netherlands,6438,858
Brazil,5717,1138,|,netherlands,7468,1030
Brazil,6836,1119,|,netherlands,8647,1179
Brazil,8044,1208,|,netherlands,9819,1172
Brazil,9056,1012,|,netherlands,10930,1111
Brazil,10360,1304,|,netherlands,11817,887
Brazil,11130,770,|,netherlands,12667,850
Brazil,12161,1031,|,netherlands,13696,1029
Brazil,14034,1873,|,netherlands,14788,1092
Brazil,16170,2136,|,netherlands,15821,1033
Brazil,18092,1922,|,netherlands,16727,906
Brazil,19638,1546,|,netherlands,17953,1226
Brazil,,,|,netherlands,18926,973
Brazil,,,|,netherlands,19709,783
Brazil,,,|,netherlands,20682,973
Brazil,,,|,netherlands,21903,1221
Brazil,,,|,netherlands,23249,1346
Brazil,,,|,netherlands,24571,1322
