Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Brazil,,,|,russia,2,-13582
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,,,|,russia,2,0
Brazil,1,,|,russia,2,0
Brazil,1,0,|,russia,2,0
Brazil,1,0,|,russia,2,0
Brazil,2,1,|,russia,2,0
Brazil,2,0,|,russia,2,0
Brazil,2,0,|,russia,2,0
Brazil,2,0,|,russia,3,1
Brazil,4,2,|,russia,3,0
Brazil,4,0,|,russia,3,0
Brazil,13,9,|,russia,4,1
Brazil,13,0,|,russia,13,9
Brazil,20,7,|,russia,13,0
Brazil,25,5,|,russia,17,4
Brazil,31,6,|,russia,17,0
Brazil,38,7,|,russia,20,3
Brazil,52,14,|,russia,20,0
Brazil,151,99,|,russia,28,8
Brazil,151,0,|,russia,45,17
Brazil,162,11,|,russia,59,14
Brazil,200,38,|,russia,63,4
Brazil,321,121,|,russia,90,27
Brazil,372,51,|,russia,114,24
Brazil,621,249,|,russia,147,33
Brazil,793,172,|,russia,199,52
Brazil,1021,228,|,russia,253,54
Brazil,1546,525,|,russia,306,53
Brazil,1924,378,|,russia,367,61
Brazil,2247,323,|,russia,438,71
Brazil,2554,307,|,russia,495,57
Brazil,2985,431,|,russia,658,163
Brazil,3417,432,|,russia,840,182
Brazil,3904,487,|,russia,1036,196
Brazil,4256,352,|,russia,1264,228
Brazil,4579,323,|,russia,1534,270
Brazil,5717,1138,|,russia,1836,302
Brazil,6836,1119,|,russia,2337,501
Brazil,8044,1208,|,russia,2777,440
Brazil,9056,1012,|,russia,3548,771
Brazil,10360,1304,|,russia,4149,601
Brazil,11130,770,|,russia,4731,582
Brazil,12161,1031,|,russia,5389,658
Brazil,14034,1873,|,russia,6343,954
Brazil,16170,2136,|,russia,7497,1154
Brazil,18092,1922,|,russia,8672,1175
Brazil,19638,1546,|,russia,10131,1459
Brazil,20727,1089,|,russia,11917,1786
Brazil,,,|,russia,13584,1667
