Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Brunei Darussalam,115,,|,bhutan,1,-4
Brunei Darussalam,120,5,|,bhutan,1,0
Brunei Darussalam,126,6,|,bhutan,1,0
Brunei Darussalam,127,1,|,bhutan,1,0
Brunei Darussalam,129,2,|,bhutan,1,0
Brunei Darussalam,131,2,|,bhutan,1,0
Brunei Darussalam,133,2,|,bhutan,1,0
Brunei Darussalam,134,1,|,bhutan,1,0
Brunei Darussalam,135,1,|,bhutan,1,0
Brunei Darussalam,135,0,|,bhutan,1,0
Brunei Darussalam,135,0,|,bhutan,1,0
Brunei Darussalam,135,0,|,bhutan,1,0
Brunei Darussalam,135,0,|,bhutan,1,0
Brunei Darussalam,135,0,|,bhutan,1,0
Brunei Darussalam,136,1,|,bhutan,2,1
Brunei Darussalam,,,|,bhutan,2,0
Brunei Darussalam,,,|,bhutan,2,0
Brunei Darussalam,,,|,bhutan,2,0
Brunei Darussalam,,,|,bhutan,2,0
Brunei Darussalam,,,|,bhutan,2,0
Brunei Darussalam,,,|,bhutan,2,0
Brunei Darussalam,,,|,bhutan,3,1
Brunei Darussalam,,,|,bhutan,3,0
Brunei Darussalam,,,|,bhutan,4,1
Brunei Darussalam,,,|,bhutan,4,0
Brunei Darussalam,,,|,bhutan,4,0
Brunei Darussalam,,,|,bhutan,4,0
Brunei Darussalam,,,|,bhutan,5,1
Brunei Darussalam,,,|,bhutan,5,0
Brunei Darussalam,,,|,bhutan,5,0
Brunei Darussalam,,,|,bhutan,5,0
Brunei Darussalam,,,|,bhutan,5,0
Brunei Darussalam,,,|,bhutan,5,0
Brunei Darussalam,,,|,bhutan,5,0
Brunei Darussalam,,,|,bhutan,5,0
Brunei Darussalam,,,|,bhutan,5,0
Brunei Darussalam,,,|,bhutan,5,0
