Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Brunei Darussalam,129,,|,canada,1,-23315
Brunei Darussalam,131,2,|,canada,1,0
Brunei Darussalam,133,2,|,canada,2,1
Brunei Darussalam,134,1,|,canada,2,0
Brunei Darussalam,135,1,|,canada,2,0
Brunei Darussalam,135,0,|,canada,4,2
Brunei Darussalam,135,0,|,canada,4,0
Brunei Darussalam,135,0,|,canada,4,0
Brunei Darussalam,135,0,|,canada,4,0
Brunei Darussalam,135,0,|,canada,4,0
Brunei Darussalam,136,1,|,canada,5,1
Brunei Darussalam,,,|,canada,5,0
Brunei Darussalam,,,|,canada,7,2
Brunei Darussalam,,,|,canada,7,0
Brunei Darussalam,,,|,canada,7,0
Brunei Darussalam,,,|,canada,7,0
Brunei Darussalam,,,|,canada,7,0
Brunei Darussalam,,,|,canada,7,0
Brunei Darussalam,,,|,canada,7,0
Brunei Darussalam,,,|,canada,7,0
Brunei Darussalam,,,|,canada,7,0
Brunei Darussalam,,,|,canada,7,0
Brunei Darussalam,,,|,canada,8,1
Brunei Darussalam,,,|,canada,8,0
Brunei Darussalam,,,|,canada,8,0
Brunei Darussalam,,,|,canada,8,0
Brunei Darussalam,,,|,canada,9,1
Brunei Darussalam,,,|,canada,9,0
Brunei Darussalam,,,|,canada,9,0
Brunei Darussalam,,,|,canada,10,1
Brunei Darussalam,,,|,canada,11,1
Brunei Darussalam,,,|,canada,11,0
Brunei Darussalam,,,|,canada,13,2
Brunei Darussalam,,,|,canada,14,1
Brunei Darussalam,,,|,canada,20,6
Brunei Darussalam,,,|,canada,24,4
Brunei Darussalam,,,|,canada,27,3
Brunei Darussalam,,,|,canada,30,3
Brunei Darussalam,,,|,canada,33,3
Brunei Darussalam,,,|,canada,37,4
Brunei Darussalam,,,|,canada,49,12
Brunei Darussalam,,,|,canada,54,5
Brunei Darussalam,,,|,canada,64,10
Brunei Darussalam,,,|,canada,77,13
Brunei Darussalam,,,|,canada,79,2
Brunei Darussalam,,,|,canada,108,29
Brunei Darussalam,,,|,canada,117,9
Brunei Darussalam,,,|,canada,193,76
Brunei Darussalam,,,|,canada,198,5
Brunei Darussalam,,,|,canada,252,54
Brunei Darussalam,,,|,canada,415,163
Brunei Darussalam,,,|,canada,478,63
Brunei Darussalam,,,|,canada,657,179
Brunei Darussalam,,,|,canada,800,143
Brunei Darussalam,,,|,canada,943,143
Brunei Darussalam,,,|,canada,1277,334
Brunei Darussalam,,,|,canada,1469,192
Brunei Darussalam,,,|,canada,2088,619
Brunei Darussalam,,,|,canada,2790,702
Brunei Darussalam,,,|,canada,3251,461
Brunei Darussalam,,,|,canada,4042,791
Brunei Darussalam,,,|,canada,4682,640
Brunei Darussalam,,,|,canada,5576,894
Brunei Darussalam,,,|,canada,6280,704
Brunei Darussalam,,,|,canada,7398,1118
Brunei Darussalam,,,|,canada,8527,1129
Brunei Darussalam,,,|,canada,9560,1033
Brunei Darussalam,,,|,canada,11284,1724
Brunei Darussalam,,,|,canada,12437,1153
Brunei Darussalam,,,|,canada,12978,541
Brunei Darussalam,,,|,canada,15756,2778
Brunei Darussalam,,,|,canada,16563,807
Brunei Darussalam,,,|,canada,17872,1309
Brunei Darussalam,,,|,canada,19141,1269
Brunei Darussalam,,,|,canada,20654,1513
Brunei Darussalam,,,|,canada,22059,1405
Brunei Darussalam,,,|,canada,23316,1257
