Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Brunei Darussalam,40,,|,holy-see-vatican-city-state,1,-7
Brunei Darussalam,50,10,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,54,4,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,56,2,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,68,12,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,75,7,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,78,3,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,83,5,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,88,5,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,91,3,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,104,13,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,109,5,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,114,5,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,115,1,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,120,5,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,126,6,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,127,1,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,129,2,|,holy-see-vatican-city-state,1,0
Brunei Darussalam,131,2,|,holy-see-vatican-city-state,4,3
Brunei Darussalam,133,2,|,holy-see-vatican-city-state,4,0
Brunei Darussalam,134,1,|,holy-see-vatican-city-state,4,0
Brunei Darussalam,135,1,|,holy-see-vatican-city-state,4,0
Brunei Darussalam,135,0,|,holy-see-vatican-city-state,6,2
Brunei Darussalam,135,0,|,holy-see-vatican-city-state,6,0
Brunei Darussalam,135,0,|,holy-see-vatican-city-state,6,0
Brunei Darussalam,135,0,|,holy-see-vatican-city-state,6,0
Brunei Darussalam,135,0,|,holy-see-vatican-city-state,6,0
Brunei Darussalam,136,1,|,holy-see-vatican-city-state,7,1
Brunei Darussalam,,,|,holy-see-vatican-city-state,7,0
Brunei Darussalam,,,|,holy-see-vatican-city-state,7,0
Brunei Darussalam,,,|,holy-see-vatican-city-state,7,0
Brunei Darussalam,,,|,holy-see-vatican-city-state,7,0
Brunei Darussalam,,,|,holy-see-vatican-city-state,7,0
Brunei Darussalam,,,|,holy-see-vatican-city-state,8,1
Brunei Darussalam,,,|,holy-see-vatican-city-state,8,0
Brunei Darussalam,,,|,holy-see-vatican-city-state,8,0
Brunei Darussalam,,,|,holy-see-vatican-city-state,8,0
