Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Brunei Darussalam,134,,|,italy,2,-152269
Brunei Darussalam,135,1,|,italy,2,0
Brunei Darussalam,135,0,|,italy,2,0
Brunei Darussalam,135,0,|,italy,2,0
Brunei Darussalam,135,0,|,italy,2,0
Brunei Darussalam,135,0,|,italy,2,0
Brunei Darussalam,135,0,|,italy,2,0
Brunei Darussalam,136,1,|,italy,3,1
Brunei Darussalam,,,|,italy,3,0
Brunei Darussalam,,,|,italy,3,0
Brunei Darussalam,,,|,italy,3,0
Brunei Darussalam,,,|,italy,3,0
Brunei Darussalam,,,|,italy,3,0
Brunei Darussalam,,,|,italy,3,0
Brunei Darussalam,,,|,italy,3,0
Brunei Darussalam,,,|,italy,3,0
Brunei Darussalam,,,|,italy,3,0
Brunei Darussalam,,,|,italy,3,0
Brunei Darussalam,,,|,italy,3,0
Brunei Darussalam,,,|,italy,3,0
Brunei Darussalam,,,|,italy,3,0
Brunei Darussalam,,,|,italy,20,17
Brunei Darussalam,,,|,italy,62,42
Brunei Darussalam,,,|,italy,155,93
Brunei Darussalam,,,|,italy,229,74
Brunei Darussalam,,,|,italy,322,93
Brunei Darussalam,,,|,italy,453,131
Brunei Darussalam,,,|,italy,655,202
Brunei Darussalam,,,|,italy,888,233
Brunei Darussalam,,,|,italy,1128,240
Brunei Darussalam,,,|,italy,1694,566
Brunei Darussalam,,,|,italy,2036,342
Brunei Darussalam,,,|,italy,2502,466
Brunei Darussalam,,,|,italy,3089,587
Brunei Darussalam,,,|,italy,3858,769
Brunei Darussalam,,,|,italy,4636,778
Brunei Darussalam,,,|,italy,5883,1247
Brunei Darussalam,,,|,italy,7375,1492
Brunei Darussalam,,,|,italy,9172,1797
Brunei Darussalam,,,|,italy,10149,977
Brunei Darussalam,,,|,italy,12462,2313
Brunei Darussalam,,,|,italy,12462,0
Brunei Darussalam,,,|,italy,17660,5198
Brunei Darussalam,,,|,italy,21157,3497
Brunei Darussalam,,,|,italy,24747,3590
Brunei Darussalam,,,|,italy,27980,3233
Brunei Darussalam,,,|,italy,31506,3526
Brunei Darussalam,,,|,italy,35713,4207
Brunei Darussalam,,,|,italy,41035,5322
Brunei Darussalam,,,|,italy,47021,5986
Brunei Darussalam,,,|,italy,53578,6557
Brunei Darussalam,,,|,italy,59138,5560
Brunei Darussalam,,,|,italy,63927,4789
Brunei Darussalam,,,|,italy,69176,5249
Brunei Darussalam,,,|,italy,74386,5210
Brunei Darussalam,,,|,italy,80589,6203
Brunei Darussalam,,,|,italy,86498,5909
Brunei Darussalam,,,|,italy,92472,5974
Brunei Darussalam,,,|,italy,97689,5217
Brunei Darussalam,,,|,italy,101739,4050
Brunei Darussalam,,,|,italy,105792,4053
Brunei Darussalam,,,|,italy,110574,4782
Brunei Darussalam,,,|,italy,115242,4668
Brunei Darussalam,,,|,italy,119827,4585
Brunei Darussalam,,,|,italy,124632,4805
Brunei Darussalam,,,|,italy,128948,4316
Brunei Darussalam,,,|,italy,132547,3599
Brunei Darussalam,,,|,italy,135586,3039
Brunei Darussalam,,,|,italy,139422,3836
Brunei Darussalam,,,|,italy,143626,4204
Brunei Darussalam,,,|,italy,147577,3951
Brunei Darussalam,,,|,italy,152271,4694
