Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Brunei Darussalam,134,,|,mexico,1,-3843
Brunei Darussalam,135,1,|,mexico,4,3
Brunei Darussalam,135,0,|,mexico,5,1
Brunei Darussalam,135,0,|,mexico,5,0
Brunei Darussalam,135,0,|,mexico,5,0
Brunei Darussalam,135,0,|,mexico,5,0
Brunei Darussalam,135,0,|,mexico,5,0
Brunei Darussalam,136,1,|,mexico,6,1
Brunei Darussalam,,,|,mexico,6,0
Brunei Darussalam,,,|,mexico,7,1
Brunei Darussalam,,,|,mexico,7,0
Brunei Darussalam,,,|,mexico,7,0
Brunei Darussalam,,,|,mexico,8,1
Brunei Darussalam,,,|,mexico,12,4
Brunei Darussalam,,,|,mexico,12,0
Brunei Darussalam,,,|,mexico,26,14
Brunei Darussalam,,,|,mexico,41,15
Brunei Darussalam,,,|,mexico,53,12
Brunei Darussalam,,,|,mexico,82,29
Brunei Darussalam,,,|,mexico,93,11
Brunei Darussalam,,,|,mexico,118,25
Brunei Darussalam,,,|,mexico,164,46
Brunei Darussalam,,,|,mexico,203,39
Brunei Darussalam,,,|,mexico,251,48
Brunei Darussalam,,,|,mexico,316,65
Brunei Darussalam,,,|,mexico,367,51
Brunei Darussalam,,,|,mexico,405,38
Brunei Darussalam,,,|,mexico,475,70
Brunei Darussalam,,,|,mexico,585,110
Brunei Darussalam,,,|,mexico,717,132
Brunei Darussalam,,,|,mexico,848,131
Brunei Darussalam,,,|,mexico,993,145
Brunei Darussalam,,,|,mexico,1094,101
Brunei Darussalam,,,|,mexico,1215,121
Brunei Darussalam,,,|,mexico,1378,163
Brunei Darussalam,,,|,mexico,1510,132
Brunei Darussalam,,,|,mexico,1688,178
Brunei Darussalam,,,|,mexico,1890,202
Brunei Darussalam,,,|,mexico,2143,253
Brunei Darussalam,,,|,mexico,2439,296
Brunei Darussalam,,,|,mexico,2785,346
Brunei Darussalam,,,|,mexico,3181,396
Brunei Darussalam,,,|,mexico,3441,260
Brunei Darussalam,,,|,mexico,3844,403
