Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Brunei Darussalam,135,,|,namibia,2,-14
Brunei Darussalam,135,0,|,namibia,2,0
Brunei Darussalam,135,0,|,namibia,2,0
Brunei Darussalam,135,0,|,namibia,2,0
Brunei Darussalam,135,0,|,namibia,2,0
Brunei Darussalam,136,1,|,namibia,3,1
Brunei Darussalam,,,|,namibia,3,0
Brunei Darussalam,,,|,namibia,3,0
Brunei Darussalam,,,|,namibia,3,0
Brunei Darussalam,,,|,namibia,4,1
Brunei Darussalam,,,|,namibia,7,3
Brunei Darussalam,,,|,namibia,7,0
Brunei Darussalam,,,|,namibia,8,1
Brunei Darussalam,,,|,namibia,8,0
Brunei Darussalam,,,|,namibia,8,0
Brunei Darussalam,,,|,namibia,11,3
Brunei Darussalam,,,|,namibia,11,0
Brunei Darussalam,,,|,namibia,11,0
Brunei Darussalam,,,|,namibia,14,3
Brunei Darussalam,,,|,namibia,14,0
Brunei Darussalam,,,|,namibia,14,0
Brunei Darussalam,,,|,namibia,14,0
Brunei Darussalam,,,|,namibia,16,2
Brunei Darussalam,,,|,namibia,16,0
Brunei Darussalam,,,|,namibia,16,0
Brunei Darussalam,,,|,namibia,16,0
Brunei Darussalam,,,|,namibia,16,0
Brunei Darussalam,,,|,namibia,16,0
Brunei Darussalam,,,|,namibia,16,0
