Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Brunei Darussalam,104,,|,nicaragua,1,-7
Brunei Darussalam,109,5,|,nicaragua,1,0
Brunei Darussalam,114,5,|,nicaragua,2,1
Brunei Darussalam,115,1,|,nicaragua,2,0
Brunei Darussalam,120,5,|,nicaragua,2,0
Brunei Darussalam,126,6,|,nicaragua,2,0
Brunei Darussalam,127,1,|,nicaragua,2,0
Brunei Darussalam,129,2,|,nicaragua,2,0
Brunei Darussalam,131,2,|,nicaragua,2,0
Brunei Darussalam,133,2,|,nicaragua,4,2
Brunei Darussalam,134,1,|,nicaragua,4,0
Brunei Darussalam,135,1,|,nicaragua,4,0
Brunei Darussalam,135,0,|,nicaragua,5,1
Brunei Darussalam,135,0,|,nicaragua,5,0
Brunei Darussalam,135,0,|,nicaragua,5,0
Brunei Darussalam,135,0,|,nicaragua,5,0
Brunei Darussalam,135,0,|,nicaragua,5,0
Brunei Darussalam,136,1,|,nicaragua,6,1
Brunei Darussalam,,,|,nicaragua,6,0
Brunei Darussalam,,,|,nicaragua,6,0
Brunei Darussalam,,,|,nicaragua,6,0
Brunei Darussalam,,,|,nicaragua,7,1
Brunei Darussalam,,,|,nicaragua,7,0
Brunei Darussalam,,,|,nicaragua,8,1
