Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Brunei Darussalam,1,,|,russia,2,-13582
Brunei Darussalam,11,10,|,russia,2,0
Brunei Darussalam,11,0,|,russia,2,0
Brunei Darussalam,37,26,|,russia,2,0
Brunei Darussalam,40,3,|,russia,2,0
Brunei Darussalam,50,10,|,russia,2,0
Brunei Darussalam,54,4,|,russia,2,0
Brunei Darussalam,56,2,|,russia,2,0
Brunei Darussalam,68,12,|,russia,2,0
Brunei Darussalam,75,7,|,russia,2,0
Brunei Darussalam,78,3,|,russia,2,0
Brunei Darussalam,83,5,|,russia,2,0
Brunei Darussalam,88,5,|,russia,2,0
Brunei Darussalam,91,3,|,russia,2,0
Brunei Darussalam,104,13,|,russia,2,0
Brunei Darussalam,109,5,|,russia,2,0
Brunei Darussalam,114,5,|,russia,2,0
Brunei Darussalam,115,1,|,russia,2,0
Brunei Darussalam,120,5,|,russia,2,0
Brunei Darussalam,126,6,|,russia,2,0
Brunei Darussalam,127,1,|,russia,2,0
Brunei Darussalam,129,2,|,russia,2,0
Brunei Darussalam,131,2,|,russia,2,0
Brunei Darussalam,133,2,|,russia,2,0
Brunei Darussalam,134,1,|,russia,2,0
Brunei Darussalam,135,1,|,russia,2,0
Brunei Darussalam,135,0,|,russia,2,0
Brunei Darussalam,135,0,|,russia,2,0
Brunei Darussalam,135,0,|,russia,2,0
Brunei Darussalam,135,0,|,russia,2,0
Brunei Darussalam,135,0,|,russia,2,0
Brunei Darussalam,136,1,|,russia,3,1
Brunei Darussalam,,,|,russia,3,0
Brunei Darussalam,,,|,russia,3,0
Brunei Darussalam,,,|,russia,4,1
Brunei Darussalam,,,|,russia,13,9
Brunei Darussalam,,,|,russia,13,0
Brunei Darussalam,,,|,russia,17,4
Brunei Darussalam,,,|,russia,17,0
Brunei Darussalam,,,|,russia,20,3
Brunei Darussalam,,,|,russia,20,0
Brunei Darussalam,,,|,russia,28,8
Brunei Darussalam,,,|,russia,45,17
Brunei Darussalam,,,|,russia,59,14
Brunei Darussalam,,,|,russia,63,4
Brunei Darussalam,,,|,russia,90,27
Brunei Darussalam,,,|,russia,114,24
Brunei Darussalam,,,|,russia,147,33
Brunei Darussalam,,,|,russia,199,52
Brunei Darussalam,,,|,russia,253,54
Brunei Darussalam,,,|,russia,306,53
Brunei Darussalam,,,|,russia,367,61
Brunei Darussalam,,,|,russia,438,71
Brunei Darussalam,,,|,russia,495,57
Brunei Darussalam,,,|,russia,658,163
Brunei Darussalam,,,|,russia,840,182
Brunei Darussalam,,,|,russia,1036,196
Brunei Darussalam,,,|,russia,1264,228
Brunei Darussalam,,,|,russia,1534,270
Brunei Darussalam,,,|,russia,1836,302
Brunei Darussalam,,,|,russia,2337,501
Brunei Darussalam,,,|,russia,2777,440
Brunei Darussalam,,,|,russia,3548,771
Brunei Darussalam,,,|,russia,4149,601
Brunei Darussalam,,,|,russia,4731,582
Brunei Darussalam,,,|,russia,5389,658
Brunei Darussalam,,,|,russia,6343,954
Brunei Darussalam,,,|,russia,7497,1154
Brunei Darussalam,,,|,russia,8672,1175
Brunei Darussalam,,,|,russia,10131,1459
Brunei Darussalam,,,|,russia,11917,1786
Brunei Darussalam,,,|,russia,13584,1667
