Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Burkina Faso,64,,|,latvia,1,-629
Burkina Faso,75,11,|,latvia,1,0
Burkina Faso,99,24,|,latvia,1,0
Burkina Faso,114,15,|,latvia,1,0
Burkina Faso,146,32,|,latvia,1,0
Burkina Faso,152,6,|,latvia,1,0
Burkina Faso,180,28,|,latvia,2,1
Burkina Faso,207,27,|,latvia,6,4
Burkina Faso,222,15,|,latvia,8,2
Burkina Faso,246,24,|,latvia,10,2
Burkina Faso,261,15,|,latvia,10,0
Burkina Faso,282,21,|,latvia,17,7
Burkina Faso,288,6,|,latvia,26,9
Burkina Faso,302,14,|,latvia,30,4
Burkina Faso,318,16,|,latvia,34,4
Burkina Faso,345,27,|,latvia,49,15
Burkina Faso,364,19,|,latvia,71,22
Burkina Faso,384,20,|,latvia,86,15
Burkina Faso,414,30,|,latvia,111,25
Burkina Faso,443,29,|,latvia,124,13
Burkina Faso,443,0,|,latvia,139,15
Burkina Faso,,,|,latvia,180,41
Burkina Faso,,,|,latvia,197,17
Burkina Faso,,,|,latvia,221,24
Burkina Faso,,,|,latvia,244,23
Burkina Faso,,,|,latvia,280,36
Burkina Faso,,,|,latvia,305,25
Burkina Faso,,,|,latvia,347,42
Burkina Faso,,,|,latvia,376,29
Burkina Faso,,,|,latvia,398,22
Burkina Faso,,,|,latvia,446,48
Burkina Faso,,,|,latvia,458,12
Burkina Faso,,,|,latvia,493,35
Burkina Faso,,,|,latvia,509,16
Burkina Faso,,,|,latvia,533,24
Burkina Faso,,,|,latvia,542,9
Burkina Faso,,,|,latvia,548,6
Burkina Faso,,,|,latvia,577,29
Burkina Faso,,,|,latvia,589,12
Burkina Faso,,,|,latvia,612,23
Burkina Faso,,,|,latvia,630,18
