Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Burkina Faso,,,|,oman,2,-544
Burkina Faso,,,|,oman,2,0
Burkina Faso,,,|,oman,4,2
Burkina Faso,,,|,oman,4,0
Burkina Faso,,,|,oman,4,0
Burkina Faso,,,|,oman,6,2
Burkina Faso,,,|,oman,6,0
Burkina Faso,,,|,oman,6,0
Burkina Faso,,,|,oman,12,6
Burkina Faso,,,|,oman,15,3
Burkina Faso,1,,|,oman,16,1
Burkina Faso,2,1,|,oman,16,0
Burkina Faso,2,0,|,oman,16,0
Burkina Faso,2,0,|,oman,16,0
Burkina Faso,2,0,|,oman,16,0
Burkina Faso,3,1,|,oman,18,2
Burkina Faso,15,12,|,oman,18,0
Burkina Faso,15,0,|,oman,18,0
Burkina Faso,20,5,|,oman,19,1
Burkina Faso,33,13,|,oman,19,0
Burkina Faso,40,7,|,oman,22,3
Burkina Faso,64,24,|,oman,22,0
Burkina Faso,75,11,|,oman,24,2
Burkina Faso,99,24,|,oman,39,15
Burkina Faso,114,15,|,oman,48,9
Burkina Faso,146,32,|,oman,48,0
Burkina Faso,152,6,|,oman,52,4
Burkina Faso,180,28,|,oman,55,3
Burkina Faso,207,27,|,oman,66,11
Burkina Faso,222,15,|,oman,84,18
Burkina Faso,246,24,|,oman,99,15
Burkina Faso,261,15,|,oman,109,10
Burkina Faso,282,21,|,oman,131,22
Burkina Faso,288,6,|,oman,152,21
Burkina Faso,302,14,|,oman,167,15
Burkina Faso,318,16,|,oman,179,12
Burkina Faso,345,27,|,oman,192,13
Burkina Faso,364,19,|,oman,210,18
Burkina Faso,384,20,|,oman,231,21
Burkina Faso,414,30,|,oman,252,21
Burkina Faso,443,29,|,oman,277,25
Burkina Faso,443,0,|,oman,298,21
Burkina Faso,484,41,|,oman,331,33
Burkina Faso,,,|,oman,371,40
Burkina Faso,,,|,oman,419,48
Burkina Faso,,,|,oman,457,38
Burkina Faso,,,|,oman,484,27
Burkina Faso,,,|,oman,546,62
