Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Burkina Faso,146,,|,uruguay,4,-490
Burkina Faso,152,6,|,uruguay,4,0
Burkina Faso,180,28,|,uruguay,8,4
Burkina Faso,207,27,|,uruguay,29,21
Burkina Faso,222,15,|,uruguay,50,21
Burkina Faso,246,24,|,uruguay,79,29
Burkina Faso,261,15,|,uruguay,94,15
Burkina Faso,282,21,|,uruguay,110,16
Burkina Faso,288,6,|,uruguay,158,48
Burkina Faso,302,14,|,uruguay,162,4
Burkina Faso,318,16,|,uruguay,162,0
Burkina Faso,345,27,|,uruguay,189,27
Burkina Faso,364,19,|,uruguay,217,28
Burkina Faso,384,20,|,uruguay,238,21
Burkina Faso,414,30,|,uruguay,274,36
Burkina Faso,443,29,|,uruguay,304,30
Burkina Faso,443,0,|,uruguay,310,6
Burkina Faso,,,|,uruguay,338,28
Burkina Faso,,,|,uruguay,338,0
Burkina Faso,,,|,uruguay,350,12
Burkina Faso,,,|,uruguay,369,19
Burkina Faso,,,|,uruguay,400,31
Burkina Faso,,,|,uruguay,400,0
Burkina Faso,,,|,uruguay,406,6
Burkina Faso,,,|,uruguay,424,18
Burkina Faso,,,|,uruguay,424,0
Burkina Faso,,,|,uruguay,456,32
Burkina Faso,,,|,uruguay,473,17
Burkina Faso,,,|,uruguay,494,21
