Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Burundi,2,,|,antigua-and-barbuda,1,-20
Burundi,3,1,|,antigua-and-barbuda,1,0
Burundi,3,0,|,antigua-and-barbuda,1,0
Burundi,3,0,|,antigua-and-barbuda,1,0
Burundi,3,0,|,antigua-and-barbuda,1,0
Burundi,3,0,|,antigua-and-barbuda,1,0
Burundi,3,0,|,antigua-and-barbuda,1,0
Burundi,3,0,|,antigua-and-barbuda,1,0
Burundi,3,0,|,antigua-and-barbuda,1,0
Burundi,3,0,|,antigua-and-barbuda,1,0
Burundi,,,|,antigua-and-barbuda,3,2
Burundi,,,|,antigua-and-barbuda,3,0
Burundi,,,|,antigua-and-barbuda,3,0
Burundi,,,|,antigua-and-barbuda,7,4
Burundi,,,|,antigua-and-barbuda,7,0
Burundi,,,|,antigua-and-barbuda,7,0
Burundi,,,|,antigua-and-barbuda,7,0
Burundi,,,|,antigua-and-barbuda,7,0
Burundi,,,|,antigua-and-barbuda,7,0
Burundi,,,|,antigua-and-barbuda,7,0
Burundi,,,|,antigua-and-barbuda,9,2
Burundi,,,|,antigua-and-barbuda,15,6
Burundi,,,|,antigua-and-barbuda,15,0
Burundi,,,|,antigua-and-barbuda,15,0
Burundi,,,|,antigua-and-barbuda,15,0
Burundi,,,|,antigua-and-barbuda,19,4
Burundi,,,|,antigua-and-barbuda,19,0
Burundi,,,|,antigua-and-barbuda,19,0
Burundi,,,|,antigua-and-barbuda,19,0
Burundi,,,|,antigua-and-barbuda,21,2
