Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Burundi,2,,|,chad,1,-10
Burundi,2,0,|,chad,1,0
Burundi,3,1,|,chad,1,0
Burundi,3,0,|,chad,1,0
Burundi,3,0,|,chad,1,0
Burundi,3,0,|,chad,3,2
Burundi,3,0,|,chad,3,0
Burundi,3,0,|,chad,3,0
Burundi,3,0,|,chad,3,0
Burundi,3,0,|,chad,3,0
Burundi,3,0,|,chad,3,0
Burundi,5,2,|,chad,5,2
Burundi,,,|,chad,7,2
Burundi,,,|,chad,7,0
Burundi,,,|,chad,8,1
Burundi,,,|,chad,8,0
Burundi,,,|,chad,9,1
Burundi,,,|,chad,9,0
Burundi,,,|,chad,9,0
Burundi,,,|,chad,10,1
Burundi,,,|,chad,10,0
Burundi,,,|,chad,11,1
Burundi,,,|,chad,11,0
Burundi,,,|,chad,11,0
