Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Burundi,3,,|,nicaragua,1,-7
Burundi,3,0,|,nicaragua,1,0
Burundi,3,0,|,nicaragua,2,1
Burundi,3,0,|,nicaragua,2,0
Burundi,3,0,|,nicaragua,2,0
Burundi,3,0,|,nicaragua,2,0
Burundi,3,0,|,nicaragua,2,0
Burundi,3,0,|,nicaragua,2,0
Burundi,3,0,|,nicaragua,2,0
Burundi,,,|,nicaragua,4,2
Burundi,,,|,nicaragua,4,0
Burundi,,,|,nicaragua,4,0
Burundi,,,|,nicaragua,5,1
Burundi,,,|,nicaragua,5,0
Burundi,,,|,nicaragua,5,0
Burundi,,,|,nicaragua,5,0
Burundi,,,|,nicaragua,5,0
Burundi,,,|,nicaragua,6,1
Burundi,,,|,nicaragua,6,0
Burundi,,,|,nicaragua,6,0
Burundi,,,|,nicaragua,6,0
Burundi,,,|,nicaragua,7,1
Burundi,,,|,nicaragua,7,0
Burundi,,,|,nicaragua,8,1
