Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Burundi,,,|,thailand,2,-2516
Burundi,,,|,thailand,3,1
Burundi,,,|,thailand,5,2
Burundi,,,|,thailand,7,2
Burundi,,,|,thailand,8,1
Burundi,,,|,thailand,8,0
Burundi,,,|,thailand,14,6
Burundi,,,|,thailand,14,0
Burundi,,,|,thailand,14,0
Burundi,,,|,thailand,19,5
Burundi,,,|,thailand,19,0
Burundi,,,|,thailand,19,0
Burundi,,,|,thailand,19,0
Burundi,,,|,thailand,25,6
Burundi,,,|,thailand,25,0
Burundi,,,|,thailand,25,0
Burundi,,,|,thailand,25,0
Burundi,,,|,thailand,32,7
Burundi,,,|,thailand,32,0
Burundi,,,|,thailand,32,0
Burundi,,,|,thailand,33,1
Burundi,,,|,thailand,33,0
Burundi,,,|,thailand,33,0
Burundi,2,,|,thailand,33,0
Burundi,2,0,|,thailand,33,0
Burundi,3,1,|,thailand,34,1
Burundi,3,0,|,thailand,35,1
Burundi,3,0,|,thailand,35,0
Burundi,3,0,|,thailand,35,0
Burundi,3,0,|,thailand,35,0
Burundi,3,0,|,thailand,35,0
Burundi,3,0,|,thailand,35,0
Burundi,3,0,|,thailand,35,0
Burundi,3,0,|,thailand,35,0
Burundi,5,2,|,thailand,37,2
Burundi,,,|,thailand,40,3
Burundi,,,|,thailand,40,0
Burundi,,,|,thailand,41,1
Burundi,,,|,thailand,42,1
Burundi,,,|,thailand,42,0
Burundi,,,|,thailand,43,1
Burundi,,,|,thailand,43,0
Burundi,,,|,thailand,43,0
Burundi,,,|,thailand,47,4
Burundi,,,|,thailand,48,1
Burundi,,,|,thailand,50,2
Burundi,,,|,thailand,50,0
Burundi,,,|,thailand,50,0
Burundi,,,|,thailand,53,3
Burundi,,,|,thailand,59,6
Burundi,,,|,thailand,70,11
Burundi,,,|,thailand,75,5
Burundi,,,|,thailand,82,7
Burundi,,,|,thailand,114,32
Burundi,,,|,thailand,147,33
Burundi,,,|,thailand,177,30
Burundi,,,|,thailand,212,35
Burundi,,,|,thailand,272,60
Burundi,,,|,thailand,322,50
Burundi,,,|,thailand,411,89
Burundi,,,|,thailand,599,188
Burundi,,,|,thailand,721,122
Burundi,,,|,thailand,827,106
Burundi,,,|,thailand,934,107
Burundi,,,|,thailand,1045,111
Burundi,,,|,thailand,1136,91
Burundi,,,|,thailand,1245,109
Burundi,,,|,thailand,1388,143
Burundi,,,|,thailand,1524,136
Burundi,,,|,thailand,1651,127
Burundi,,,|,thailand,1771,120
Burundi,,,|,thailand,1875,104
Burundi,,,|,thailand,1978,103
Burundi,,,|,thailand,2067,89
Burundi,,,|,thailand,2169,102
Burundi,,,|,thailand,2220,51
Burundi,,,|,thailand,2258,38
Burundi,,,|,thailand,2369,111
Burundi,,,|,thailand,2423,54
Burundi,,,|,thailand,2473,50
Burundi,,,|,thailand,2518,45
