Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Canada,108,,|,austria,2,-13804
Canada,117,9,|,austria,2,0
Canada,193,76,|,austria,3,1
Canada,198,5,|,austria,3,0
Canada,252,54,|,austria,9,6
Canada,415,163,|,austria,14,5
Canada,478,63,|,austria,18,4
Canada,657,179,|,austria,21,3
Canada,800,143,|,austria,29,8
Canada,943,143,|,austria,41,12
Canada,1277,334,|,austria,55,14
Canada,1469,192,|,austria,79,24
Canada,2088,619,|,austria,104,25
Canada,2790,702,|,austria,131,27
Canada,3251,461,|,austria,182,51
Canada,4042,791,|,austria,246,64
Canada,4682,640,|,austria,302,56
Canada,5576,894,|,austria,504,202
Canada,6280,704,|,austria,655,151
Canada,7398,1118,|,austria,860,205
Canada,8527,1129,|,austria,1018,158
Canada,9560,1033,|,austria,1332,314
Canada,11284,1724,|,austria,1646,314
Canada,12437,1153,|,austria,2013,367
Canada,12978,541,|,austria,2388,375
Canada,15756,2778,|,austria,2814,426
Canada,16563,807,|,austria,3582,768
Canada,17872,1309,|,austria,4474,892
Canada,19141,1269,|,austria,5283,809
Canada,20654,1513,|,austria,5588,305
Canada,22059,1405,|,austria,6909,1321
Canada,,,|,austria,7657,748
Canada,,,|,austria,8271,614
Canada,,,|,austria,8788,517
Canada,,,|,austria,9618,830
Canada,,,|,austria,10180,562
Canada,,,|,austria,10711,531
Canada,,,|,austria,11129,418
Canada,,,|,austria,11524,395
Canada,,,|,austria,11781,257
Canada,,,|,austria,12051,270
Canada,,,|,austria,12297,246
Canada,,,|,austria,12639,342
Canada,,,|,austria,12942,303
Canada,,,|,austria,13244,302
Canada,,,|,austria,13555,311
Canada,,,|,austria,13806,251
