Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Canada,7,,|,belgium,1,-28017
Canada,7,0,|,belgium,1,0
Canada,7,0,|,belgium,1,0
Canada,7,0,|,belgium,1,0
Canada,7,0,|,belgium,1,0
Canada,7,0,|,belgium,1,0
Canada,7,0,|,belgium,1,0
Canada,8,1,|,belgium,1,0
Canada,8,0,|,belgium,1,0
Canada,8,0,|,belgium,1,0
Canada,8,0,|,belgium,1,0
Canada,9,1,|,belgium,1,0
Canada,9,0,|,belgium,1,0
Canada,9,0,|,belgium,1,0
Canada,10,1,|,belgium,1,0
Canada,11,1,|,belgium,1,0
Canada,11,0,|,belgium,1,0
Canada,13,2,|,belgium,1,0
Canada,14,1,|,belgium,1,0
Canada,20,6,|,belgium,1,0
Canada,24,4,|,belgium,1,0
Canada,27,3,|,belgium,1,0
Canada,30,3,|,belgium,1,0
Canada,33,3,|,belgium,1,0
Canada,37,4,|,belgium,1,0
Canada,49,12,|,belgium,1,0
Canada,54,5,|,belgium,2,1
Canada,64,10,|,belgium,8,6
Canada,77,13,|,belgium,13,5
Canada,79,2,|,belgium,23,10
Canada,108,29,|,belgium,50,27
Canada,117,9,|,belgium,109,59
Canada,193,76,|,belgium,169,60
Canada,198,5,|,belgium,200,31
Canada,252,54,|,belgium,239,39
Canada,415,163,|,belgium,267,28
Canada,478,63,|,belgium,314,47
Canada,657,179,|,belgium,314,0
Canada,800,143,|,belgium,559,245
Canada,943,143,|,belgium,689,130
Canada,1277,334,|,belgium,886,197
Canada,1469,192,|,belgium,1058,172
Canada,2088,619,|,belgium,1243,185
Canada,2790,702,|,belgium,1486,243
Canada,3251,461,|,belgium,1795,309
Canada,4042,791,|,belgium,2257,462
Canada,4682,640,|,belgium,2815,558
Canada,5576,894,|,belgium,3401,586
Canada,6280,704,|,belgium,3743,342
Canada,7398,1118,|,belgium,4269,526
Canada,8527,1129,|,belgium,4937,668
Canada,9560,1033,|,belgium,6235,1298
Canada,11284,1724,|,belgium,7284,1049
Canada,12437,1153,|,belgium,9134,1850
Canada,12978,541,|,belgium,10836,1702
Canada,15756,2778,|,belgium,11899,1063
Canada,16563,807,|,belgium,12775,876
Canada,17872,1309,|,belgium,13964,1189
Canada,19141,1269,|,belgium,15348,1384
Canada,20654,1513,|,belgium,16770,1422
Canada,22059,1405,|,belgium,18431,1661
Canada,,,|,belgium,19691,1260
Canada,,,|,belgium,20814,1123
Canada,,,|,belgium,22194,1380
Canada,,,|,belgium,23403,1209
Canada,,,|,belgium,24983,1580
Canada,,,|,belgium,26667,1684
Canada,,,|,belgium,28018,1351
