Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Canada,33,,|,brazil,1,-20726
Canada,37,4,|,brazil,1,0
Canada,49,12,|,brazil,1,0
Canada,54,5,|,brazil,2,1
Canada,64,10,|,brazil,2,0
Canada,77,13,|,brazil,2,0
Canada,79,2,|,brazil,2,0
Canada,108,29,|,brazil,4,2
Canada,117,9,|,brazil,4,0
Canada,193,76,|,brazil,13,9
Canada,198,5,|,brazil,13,0
Canada,252,54,|,brazil,20,7
Canada,415,163,|,brazil,25,5
Canada,478,63,|,brazil,31,6
Canada,657,179,|,brazil,38,7
Canada,800,143,|,brazil,52,14
Canada,943,143,|,brazil,151,99
Canada,1277,334,|,brazil,151,0
Canada,1469,192,|,brazil,162,11
Canada,2088,619,|,brazil,200,38
Canada,2790,702,|,brazil,321,121
Canada,3251,461,|,brazil,372,51
Canada,4042,791,|,brazil,621,249
Canada,4682,640,|,brazil,793,172
Canada,5576,894,|,brazil,1021,228
Canada,6280,704,|,brazil,1546,525
Canada,7398,1118,|,brazil,1924,378
Canada,8527,1129,|,brazil,2247,323
Canada,9560,1033,|,brazil,2554,307
Canada,11284,1724,|,brazil,2985,431
Canada,12437,1153,|,brazil,3417,432
Canada,12978,541,|,brazil,3904,487
Canada,15756,2778,|,brazil,4256,352
Canada,16563,807,|,brazil,4579,323
Canada,17872,1309,|,brazil,5717,1138
Canada,19141,1269,|,brazil,6836,1119
Canada,20654,1513,|,brazil,8044,1208
Canada,22059,1405,|,brazil,9056,1012
Canada,,,|,brazil,10360,1304
Canada,,,|,brazil,11130,770
Canada,,,|,brazil,12161,1031
Canada,,,|,brazil,14034,1873
Canada,,,|,brazil,16170,2136
Canada,,,|,brazil,18092,1922
Canada,,,|,brazil,19638,1546
Canada,,,|,brazil,20727,1089
