Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Canada,7,,|,france,2,-130725
Canada,7,0,|,france,3,1
Canada,7,0,|,france,3,0
Canada,7,0,|,france,3,0
Canada,8,1,|,france,4,1
Canada,8,0,|,france,5,1
Canada,8,0,|,france,5,0
Canada,8,0,|,france,5,0
Canada,9,1,|,france,6,1
Canada,9,0,|,france,6,0
Canada,9,0,|,france,6,0
Canada,10,1,|,france,6,0
Canada,11,1,|,france,6,0
Canada,11,0,|,france,6,0
Canada,13,2,|,france,6,0
Canada,14,1,|,france,11,5
Canada,20,6,|,france,11,0
Canada,24,4,|,france,11,0
Canada,27,3,|,france,11,0
Canada,30,3,|,france,11,0
Canada,33,3,|,france,11,0
Canada,37,4,|,france,11,0
Canada,49,12,|,france,12,1
Canada,54,5,|,france,12,0
Canada,64,10,|,france,12,0
Canada,77,13,|,france,12,0
Canada,79,2,|,france,12,0
Canada,108,29,|,france,12,0
Canada,117,9,|,france,12,0
Canada,193,76,|,france,12,0
Canada,198,5,|,france,12,0
Canada,252,54,|,france,12,0
Canada,415,163,|,france,14,2
Canada,478,63,|,france,18,4
Canada,657,179,|,france,38,20
Canada,800,143,|,france,57,19
Canada,943,143,|,france,100,43
Canada,1277,334,|,france,130,30
Canada,1469,192,|,france,191,61
Canada,2088,619,|,france,204,13
Canada,2790,702,|,france,288,84
Canada,3251,461,|,france,380,92
Canada,4042,791,|,france,656,276
Canada,4682,640,|,france,959,303
Canada,5576,894,|,france,1136,177
Canada,6280,704,|,france,1219,83
Canada,7398,1118,|,france,1794,575
Canada,8527,1129,|,france,2293,499
Canada,9560,1033,|,france,2293,0
Canada,11284,1724,|,france,3681,1388
Canada,12437,1153,|,france,4496,815
Canada,12978,541,|,france,4532,36
Canada,15756,2778,|,france,6683,2151
Canada,16563,807,|,france,7715,1032
Canada,17872,1309,|,france,9124,1409
Canada,19141,1269,|,france,10970,1846
Canada,20654,1513,|,france,12758,1788
Canada,22059,1405,|,france,14463,1705
Canada,,,|,france,16243,1780
Canada,,,|,france,20123,3880
Canada,,,|,france,22622,2499
Canada,,,|,france,25600,2978
Canada,,,|,france,29551,3951
Canada,,,|,france,33402,3851
Canada,,,|,france,38105,4703
Canada,,,|,france,40708,2603
Canada,,,|,france,45170,4462
Canada,,,|,france,52827,7657
Canada,,,|,france,57749,4922
Canada,,,|,france,59929,2180
Canada,,,|,france,65202,5273
Canada,,,|,france,90848,25646
Canada,,,|,france,93773,2925
Canada,,,|,france,98963,5190
Canada,,,|,france,110065,11102
Canada,,,|,france,113959,3894
Canada,,,|,france,118781,4822
Canada,,,|,france,125931,7150
Canada,,,|,france,130727,4796
