Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Canada,9,,|,germany,1,-124907
Canada,9,0,|,germany,4,3
Canada,9,0,|,germany,4,0
Canada,10,1,|,germany,4,0
Canada,11,1,|,germany,5,1
Canada,11,0,|,germany,8,3
Canada,13,2,|,germany,10,2
Canada,14,1,|,germany,12,2
Canada,20,6,|,germany,12,0
Canada,24,4,|,germany,12,0
Canada,27,3,|,germany,12,0
Canada,30,3,|,germany,13,1
Canada,33,3,|,germany,13,0
Canada,37,4,|,germany,14,1
Canada,49,12,|,germany,14,0
Canada,54,5,|,germany,16,2
Canada,64,10,|,germany,16,0
Canada,77,13,|,germany,16,0
Canada,79,2,|,germany,16,0
Canada,108,29,|,germany,16,0
Canada,117,9,|,germany,16,0
Canada,193,76,|,germany,16,0
Canada,198,5,|,germany,16,0
Canada,252,54,|,germany,16,0
Canada,415,163,|,germany,16,0
Canada,478,63,|,germany,16,0
Canada,657,179,|,germany,16,0
Canada,800,143,|,germany,16,0
Canada,943,143,|,germany,16,0
Canada,1277,334,|,germany,17,1
Canada,1469,192,|,germany,27,10
Canada,2088,619,|,germany,46,19
Canada,2790,702,|,germany,48,2
Canada,3251,461,|,germany,79,31
Canada,4042,791,|,germany,130,51
Canada,4682,640,|,germany,159,29
Canada,5576,894,|,germany,196,37
Canada,6280,704,|,germany,262,66
Canada,7398,1118,|,germany,482,220
Canada,8527,1129,|,germany,670,188
Canada,9560,1033,|,germany,799,129
Canada,11284,1724,|,germany,1040,241
Canada,12437,1153,|,germany,1176,136
Canada,12978,541,|,germany,1457,281
Canada,15756,2778,|,germany,1908,451
Canada,16563,807,|,germany,2078,170
Canada,17872,1309,|,germany,3675,1597
Canada,19141,1269,|,germany,4585,910
Canada,20654,1513,|,germany,5795,1210
Canada,22059,1405,|,germany,7272,1477
Canada,,,|,germany,9257,1985
Canada,,,|,germany,12327,3070
Canada,,,|,germany,15320,2993
Canada,,,|,germany,19848,4528
Canada,,,|,germany,22213,2365
Canada,,,|,germany,24873,2660
Canada,,,|,germany,29056,4183
Canada,,,|,germany,32986,3930
Canada,,,|,germany,37323,4337
Canada,,,|,germany,43938,6615
Canada,,,|,germany,50871,6933
Canada,,,|,germany,57695,6824
Canada,,,|,germany,62095,4400
Canada,,,|,germany,66885,4790
Canada,,,|,germany,71808,4923
Canada,,,|,germany,77872,6064
Canada,,,|,germany,84794,6922
Canada,,,|,germany,91159,6365
Canada,,,|,germany,96092,4933
Canada,,,|,germany,100123,4031
Canada,,,|,germany,103374,3251
Canada,,,|,germany,107663,4289
Canada,,,|,germany,113296,5633
Canada,,,|,germany,118181,4885
Canada,,,|,germany,122171,3990
Canada,,,|,germany,124908,2737
