Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Canada,478,,|,iran,2,-70027
Canada,657,179,|,iran,5,3
Canada,800,143,|,iran,18,13
Canada,943,143,|,iran,28,10
Canada,1277,334,|,iran,43,15
Canada,1469,192,|,iran,61,18
Canada,2088,619,|,iran,95,34
Canada,2790,702,|,iran,139,44
Canada,3251,461,|,iran,245,106
Canada,4042,791,|,iran,388,143
Canada,4682,640,|,iran,593,205
Canada,5576,894,|,iran,978,385
Canada,6280,704,|,iran,1501,523
Canada,7398,1118,|,iran,2336,835
Canada,8527,1129,|,iran,2922,586
Canada,9560,1033,|,iran,3513,591
Canada,11284,1724,|,iran,4747,1234
Canada,12437,1153,|,iran,5823,1076
Canada,12978,541,|,iran,6566,743
Canada,15756,2778,|,iran,7161,595
Canada,16563,807,|,iran,8042,881
Canada,17872,1309,|,iran,9000,958
Canada,19141,1269,|,iran,10075,1075
Canada,20654,1513,|,iran,11364,1289
Canada,22059,1405,|,iran,12729,1365
Canada,,,|,iran,13938,1209
Canada,,,|,iran,14991,1053
Canada,,,|,iran,16169,1178
Canada,,,|,iran,17361,1192
Canada,,,|,iran,18407,1046
Canada,,,|,iran,19644,1237
Canada,,,|,iran,20610,966
Canada,,,|,iran,21638,1028
Canada,,,|,iran,23049,1411
Canada,,,|,iran,24811,1762
Canada,,,|,iran,27017,2206
Canada,,,|,iran,29406,2389
Canada,,,|,iran,32332,2926
Canada,,,|,iran,35408,3076
Canada,,,|,iran,38309,2901
Canada,,,|,iran,41495,3186
Canada,,,|,iran,44605,3110
Canada,,,|,iran,47593,2988
Canada,,,|,iran,50468,2875
Canada,,,|,iran,53183,2715
Canada,,,|,iran,55743,2560
Canada,,,|,iran,58226,2483
Canada,,,|,iran,60500,2274
Canada,,,|,iran,62589,2089
Canada,,,|,iran,64586,1997
Canada,,,|,iran,66220,1634
Canada,,,|,iran,68192,1972
Canada,,,|,iran,70029,1837
