Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Canada,30,,|,italy,2,-152269
Canada,33,3,|,italy,2,0
Canada,37,4,|,italy,2,0
Canada,49,12,|,italy,2,0
Canada,54,5,|,italy,2,0
Canada,64,10,|,italy,2,0
Canada,77,13,|,italy,2,0
Canada,79,2,|,italy,3,1
Canada,108,29,|,italy,3,0
Canada,117,9,|,italy,3,0
Canada,193,76,|,italy,3,0
Canada,198,5,|,italy,3,0
Canada,252,54,|,italy,3,0
Canada,415,163,|,italy,3,0
Canada,478,63,|,italy,3,0
Canada,657,179,|,italy,3,0
Canada,800,143,|,italy,3,0
Canada,943,143,|,italy,3,0
Canada,1277,334,|,italy,3,0
Canada,1469,192,|,italy,3,0
Canada,2088,619,|,italy,3,0
Canada,2790,702,|,italy,20,17
Canada,3251,461,|,italy,62,42
Canada,4042,791,|,italy,155,93
Canada,4682,640,|,italy,229,74
Canada,5576,894,|,italy,322,93
Canada,6280,704,|,italy,453,131
Canada,7398,1118,|,italy,655,202
Canada,8527,1129,|,italy,888,233
Canada,9560,1033,|,italy,1128,240
Canada,11284,1724,|,italy,1694,566
Canada,12437,1153,|,italy,2036,342
Canada,12978,541,|,italy,2502,466
Canada,15756,2778,|,italy,3089,587
Canada,16563,807,|,italy,3858,769
Canada,17872,1309,|,italy,4636,778
Canada,19141,1269,|,italy,5883,1247
Canada,20654,1513,|,italy,7375,1492
Canada,22059,1405,|,italy,9172,1797
Canada,,,|,italy,10149,977
Canada,,,|,italy,12462,2313
Canada,,,|,italy,12462,0
Canada,,,|,italy,17660,5198
Canada,,,|,italy,21157,3497
Canada,,,|,italy,24747,3590
Canada,,,|,italy,27980,3233
Canada,,,|,italy,31506,3526
Canada,,,|,italy,35713,4207
Canada,,,|,italy,41035,5322
Canada,,,|,italy,47021,5986
Canada,,,|,italy,53578,6557
Canada,,,|,italy,59138,5560
Canada,,,|,italy,63927,4789
Canada,,,|,italy,69176,5249
Canada,,,|,italy,74386,5210
Canada,,,|,italy,80589,6203
Canada,,,|,italy,86498,5909
Canada,,,|,italy,92472,5974
Canada,,,|,italy,97689,5217
Canada,,,|,italy,101739,4050
Canada,,,|,italy,105792,4053
Canada,,,|,italy,110574,4782
Canada,,,|,italy,115242,4668
Canada,,,|,italy,119827,4585
Canada,,,|,italy,124632,4805
Canada,,,|,italy,128948,4316
Canada,,,|,italy,132547,3599
Canada,,,|,italy,135586,3039
Canada,,,|,italy,139422,3836
Canada,,,|,italy,143626,4204
Canada,,,|,italy,147577,3951
Canada,,,|,italy,152271,4694
