Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Canada,108,,|,netherlands,1,-24570
Canada,117,9,|,netherlands,1,0
Canada,193,76,|,netherlands,6,5
Canada,198,5,|,netherlands,10,4
Canada,252,54,|,netherlands,18,8
Canada,415,163,|,netherlands,24,6
Canada,478,63,|,netherlands,38,14
Canada,657,179,|,netherlands,82,44
Canada,800,143,|,netherlands,128,46
Canada,943,143,|,netherlands,188,60
Canada,1277,334,|,netherlands,265,77
Canada,1469,192,|,netherlands,321,56
Canada,2088,619,|,netherlands,382,61
Canada,2790,702,|,netherlands,503,121
Canada,3251,461,|,netherlands,503,0
Canada,4042,791,|,netherlands,806,303
Canada,4682,640,|,netherlands,962,156
Canada,5576,894,|,netherlands,1138,176
Canada,6280,704,|,netherlands,1416,278
Canada,7398,1118,|,netherlands,1711,295
Canada,8527,1129,|,netherlands,2058,347
Canada,9560,1033,|,netherlands,2467,409
Canada,11284,1724,|,netherlands,3003,536
Canada,12437,1153,|,netherlands,3640,637
Canada,12978,541,|,netherlands,4217,577
Canada,15756,2778,|,netherlands,4764,547
Canada,16563,807,|,netherlands,5580,816
Canada,17872,1309,|,netherlands,6438,858
Canada,19141,1269,|,netherlands,7468,1030
Canada,20654,1513,|,netherlands,8647,1179
Canada,22059,1405,|,netherlands,9819,1172
Canada,,,|,netherlands,10930,1111
Canada,,,|,netherlands,11817,887
Canada,,,|,netherlands,12667,850
Canada,,,|,netherlands,13696,1029
Canada,,,|,netherlands,14788,1092
Canada,,,|,netherlands,15821,1033
Canada,,,|,netherlands,16727,906
Canada,,,|,netherlands,17953,1226
Canada,,,|,netherlands,18926,973
Canada,,,|,netherlands,19709,783
Canada,,,|,netherlands,20682,973
Canada,,,|,netherlands,21903,1221
Canada,,,|,netherlands,23249,1346
Canada,,,|,netherlands,24571,1322
