Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Canada,4,,|,russia,2,-13582
Canada,4,0,|,russia,2,0
Canada,4,0,|,russia,2,0
Canada,4,0,|,russia,2,0
Canada,5,1,|,russia,2,0
Canada,5,0,|,russia,2,0
Canada,7,2,|,russia,2,0
Canada,7,0,|,russia,2,0
Canada,7,0,|,russia,2,0
Canada,7,0,|,russia,2,0
Canada,7,0,|,russia,2,0
Canada,7,0,|,russia,2,0
Canada,7,0,|,russia,2,0
Canada,7,0,|,russia,2,0
Canada,7,0,|,russia,2,0
Canada,7,0,|,russia,2,0
Canada,8,1,|,russia,2,0
Canada,8,0,|,russia,2,0
Canada,8,0,|,russia,2,0
Canada,8,0,|,russia,2,0
Canada,9,1,|,russia,2,0
Canada,9,0,|,russia,2,0
Canada,9,0,|,russia,2,0
Canada,10,1,|,russia,2,0
Canada,11,1,|,russia,2,0
Canada,11,0,|,russia,2,0
Canada,13,2,|,russia,2,0
Canada,14,1,|,russia,2,0
Canada,20,6,|,russia,2,0
Canada,24,4,|,russia,2,0
Canada,27,3,|,russia,2,0
Canada,30,3,|,russia,3,1
Canada,33,3,|,russia,3,0
Canada,37,4,|,russia,3,0
Canada,49,12,|,russia,4,1
Canada,54,5,|,russia,13,9
Canada,64,10,|,russia,13,0
Canada,77,13,|,russia,17,4
Canada,79,2,|,russia,17,0
Canada,108,29,|,russia,20,3
Canada,117,9,|,russia,20,0
Canada,193,76,|,russia,28,8
Canada,198,5,|,russia,45,17
Canada,252,54,|,russia,59,14
Canada,415,163,|,russia,63,4
Canada,478,63,|,russia,90,27
Canada,657,179,|,russia,114,24
Canada,800,143,|,russia,147,33
Canada,943,143,|,russia,199,52
Canada,1277,334,|,russia,253,54
Canada,1469,192,|,russia,306,53
Canada,2088,619,|,russia,367,61
Canada,2790,702,|,russia,438,71
Canada,3251,461,|,russia,495,57
Canada,4042,791,|,russia,658,163
Canada,4682,640,|,russia,840,182
Canada,5576,894,|,russia,1036,196
Canada,6280,704,|,russia,1264,228
Canada,7398,1118,|,russia,1534,270
Canada,8527,1129,|,russia,1836,302
Canada,9560,1033,|,russia,2337,501
Canada,11284,1724,|,russia,2777,440
Canada,12437,1153,|,russia,3548,771
Canada,12978,541,|,russia,4149,601
Canada,15756,2778,|,russia,4731,582
Canada,16563,807,|,russia,5389,658
Canada,17872,1309,|,russia,6343,954
Canada,19141,1269,|,russia,7497,1154
Canada,20654,1513,|,russia,8672,1175
Canada,22059,1405,|,russia,10131,1459
Canada,,,|,russia,11917,1786
Canada,,,|,russia,13584,1667
