Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Canada,2088,,|,turkey,1,-52166
Canada,2790,702,|,turkey,1,0
Canada,3251,461,|,turkey,5,4
Canada,4042,791,|,turkey,5,0
Canada,4682,640,|,turkey,6,1
Canada,5576,894,|,turkey,18,12
Canada,6280,704,|,turkey,47,29
Canada,7398,1118,|,turkey,98,51
Canada,8527,1129,|,turkey,192,94
Canada,9560,1033,|,turkey,359,167
Canada,11284,1724,|,turkey,670,311
Canada,12437,1153,|,turkey,1236,566
Canada,12978,541,|,turkey,1529,293
Canada,15756,2778,|,turkey,1872,343
Canada,16563,807,|,turkey,2433,561
Canada,17872,1309,|,turkey,3629,1196
Canada,19141,1269,|,turkey,5698,2069
Canada,20654,1513,|,turkey,7402,1704
Canada,22059,1405,|,turkey,9217,1815
Canada,,,|,turkey,10827,1610
Canada,,,|,turkey,13531,2704
Canada,,,|,turkey,15679,2148
Canada,,,|,turkey,18135,2456
Canada,,,|,turkey,20921,2786
Canada,,,|,turkey,23934,3013
Canada,,,|,turkey,27069,3135
Canada,,,|,turkey,30217,3148
Canada,,,|,turkey,34109,3892
Canada,,,|,turkey,38226,4117
Canada,,,|,turkey,42282,4056
Canada,,,|,turkey,47029,4747
Canada,,,|,turkey,52167,5138
