Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Chad,,,|,bhutan,1,-4
Chad,,,|,bhutan,1,0
Chad,1,,|,bhutan,1,0
Chad,1,0,|,bhutan,1,0
Chad,1,0,|,bhutan,1,0
Chad,1,0,|,bhutan,1,0
Chad,1,0,|,bhutan,1,0
Chad,3,2,|,bhutan,1,0
Chad,3,0,|,bhutan,1,0
Chad,3,0,|,bhutan,1,0
Chad,3,0,|,bhutan,1,0
Chad,3,0,|,bhutan,1,0
Chad,3,0,|,bhutan,1,0
Chad,5,2,|,bhutan,1,0
Chad,7,2,|,bhutan,2,1
Chad,7,0,|,bhutan,2,0
Chad,8,1,|,bhutan,2,0
Chad,8,0,|,bhutan,2,0
Chad,9,1,|,bhutan,2,0
Chad,9,0,|,bhutan,2,0
Chad,9,0,|,bhutan,2,0
Chad,10,1,|,bhutan,3,1
Chad,10,0,|,bhutan,3,0
Chad,11,1,|,bhutan,4,1
Chad,11,0,|,bhutan,4,0
Chad,11,0,|,bhutan,4,0
Chad,,,|,bhutan,4,0
Chad,,,|,bhutan,5,1
Chad,,,|,bhutan,5,0
Chad,,,|,bhutan,5,0
Chad,,,|,bhutan,5,0
Chad,,,|,bhutan,5,0
Chad,,,|,bhutan,5,0
Chad,,,|,bhutan,5,0
Chad,,,|,bhutan,5,0
Chad,,,|,bhutan,5,0
Chad,,,|,bhutan,5,0
