Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Chad,3,,|,canada,1,-23315
Chad,3,0,|,canada,1,0
Chad,5,2,|,canada,2,1
Chad,7,2,|,canada,2,0
Chad,7,0,|,canada,2,0
Chad,8,1,|,canada,4,2
Chad,8,0,|,canada,4,0
Chad,9,1,|,canada,4,0
Chad,9,0,|,canada,4,0
Chad,9,0,|,canada,4,0
Chad,10,1,|,canada,5,1
Chad,10,0,|,canada,5,0
Chad,11,1,|,canada,7,2
Chad,11,0,|,canada,7,0
Chad,,,|,canada,7,0
Chad,,,|,canada,7,0
Chad,,,|,canada,7,0
Chad,,,|,canada,7,0
Chad,,,|,canada,7,0
Chad,,,|,canada,7,0
Chad,,,|,canada,7,0
Chad,,,|,canada,7,0
Chad,,,|,canada,8,1
Chad,,,|,canada,8,0
Chad,,,|,canada,8,0
Chad,,,|,canada,8,0
Chad,,,|,canada,9,1
Chad,,,|,canada,9,0
Chad,,,|,canada,9,0
Chad,,,|,canada,10,1
Chad,,,|,canada,11,1
Chad,,,|,canada,11,0
Chad,,,|,canada,13,2
Chad,,,|,canada,14,1
Chad,,,|,canada,20,6
Chad,,,|,canada,24,4
Chad,,,|,canada,27,3
Chad,,,|,canada,30,3
Chad,,,|,canada,33,3
Chad,,,|,canada,37,4
Chad,,,|,canada,49,12
Chad,,,|,canada,54,5
Chad,,,|,canada,64,10
Chad,,,|,canada,77,13
Chad,,,|,canada,79,2
Chad,,,|,canada,108,29
Chad,,,|,canada,117,9
Chad,,,|,canada,193,76
Chad,,,|,canada,198,5
Chad,,,|,canada,252,54
Chad,,,|,canada,415,163
Chad,,,|,canada,478,63
Chad,,,|,canada,657,179
Chad,,,|,canada,800,143
Chad,,,|,canada,943,143
Chad,,,|,canada,1277,334
Chad,,,|,canada,1469,192
Chad,,,|,canada,2088,619
Chad,,,|,canada,2790,702
Chad,,,|,canada,3251,461
Chad,,,|,canada,4042,791
Chad,,,|,canada,4682,640
Chad,,,|,canada,5576,894
Chad,,,|,canada,6280,704
Chad,,,|,canada,7398,1118
Chad,,,|,canada,8527,1129
Chad,,,|,canada,9560,1033
Chad,,,|,canada,11284,1724
Chad,,,|,canada,12437,1153
Chad,,,|,canada,12978,541
Chad,,,|,canada,15756,2778
Chad,,,|,canada,16563,807
Chad,,,|,canada,17872,1309
Chad,,,|,canada,19141,1269
Chad,,,|,canada,20654,1513
Chad,,,|,canada,22059,1405
Chad,,,|,canada,23316,1257
