Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Chad,3,,|,germany,1,-124907
Chad,3,0,|,germany,4,3
Chad,3,0,|,germany,4,0
Chad,3,0,|,germany,4,0
Chad,3,0,|,germany,5,1
Chad,5,2,|,germany,8,3
Chad,7,2,|,germany,10,2
Chad,7,0,|,germany,12,2
Chad,8,1,|,germany,12,0
Chad,8,0,|,germany,12,0
Chad,9,1,|,germany,12,0
Chad,9,0,|,germany,13,1
Chad,9,0,|,germany,13,0
Chad,10,1,|,germany,14,1
Chad,10,0,|,germany,14,0
Chad,11,1,|,germany,16,2
Chad,11,0,|,germany,16,0
Chad,,,|,germany,16,0
Chad,,,|,germany,16,0
Chad,,,|,germany,16,0
Chad,,,|,germany,16,0
Chad,,,|,germany,16,0
Chad,,,|,germany,16,0
Chad,,,|,germany,16,0
Chad,,,|,germany,16,0
Chad,,,|,germany,16,0
Chad,,,|,germany,16,0
Chad,,,|,germany,16,0
Chad,,,|,germany,16,0
Chad,,,|,germany,17,1
Chad,,,|,germany,27,10
Chad,,,|,germany,46,19
Chad,,,|,germany,48,2
Chad,,,|,germany,79,31
Chad,,,|,germany,130,51
Chad,,,|,germany,159,29
Chad,,,|,germany,196,37
Chad,,,|,germany,262,66
Chad,,,|,germany,482,220
Chad,,,|,germany,670,188
Chad,,,|,germany,799,129
Chad,,,|,germany,1040,241
Chad,,,|,germany,1176,136
Chad,,,|,germany,1457,281
Chad,,,|,germany,1908,451
Chad,,,|,germany,2078,170
Chad,,,|,germany,3675,1597
Chad,,,|,germany,4585,910
Chad,,,|,germany,5795,1210
Chad,,,|,germany,7272,1477
Chad,,,|,germany,9257,1985
Chad,,,|,germany,12327,3070
Chad,,,|,germany,15320,2993
Chad,,,|,germany,19848,4528
Chad,,,|,germany,22213,2365
Chad,,,|,germany,24873,2660
Chad,,,|,germany,29056,4183
Chad,,,|,germany,32986,3930
Chad,,,|,germany,37323,4337
Chad,,,|,germany,43938,6615
Chad,,,|,germany,50871,6933
Chad,,,|,germany,57695,6824
Chad,,,|,germany,62095,4400
Chad,,,|,germany,66885,4790
Chad,,,|,germany,71808,4923
Chad,,,|,germany,77872,6064
Chad,,,|,germany,84794,6922
Chad,,,|,germany,91159,6365
Chad,,,|,germany,96092,4933
Chad,,,|,germany,100123,4031
Chad,,,|,germany,103374,3251
Chad,,,|,germany,107663,4289
Chad,,,|,germany,113296,5633
Chad,,,|,germany,118181,4885
Chad,,,|,germany,122171,3990
Chad,,,|,germany,124908,2737
