Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Chad,7,,|,mexico,1,-3843
Chad,7,0,|,mexico,4,3
Chad,8,1,|,mexico,5,1
Chad,8,0,|,mexico,5,0
Chad,9,1,|,mexico,5,0
Chad,9,0,|,mexico,5,0
Chad,9,0,|,mexico,5,0
Chad,10,1,|,mexico,6,1
Chad,10,0,|,mexico,6,0
Chad,11,1,|,mexico,7,1
Chad,11,0,|,mexico,7,0
Chad,,,|,mexico,7,0
Chad,,,|,mexico,8,1
Chad,,,|,mexico,12,4
Chad,,,|,mexico,12,0
Chad,,,|,mexico,26,14
Chad,,,|,mexico,41,15
Chad,,,|,mexico,53,12
Chad,,,|,mexico,82,29
Chad,,,|,mexico,93,11
Chad,,,|,mexico,118,25
Chad,,,|,mexico,164,46
Chad,,,|,mexico,203,39
Chad,,,|,mexico,251,48
Chad,,,|,mexico,316,65
Chad,,,|,mexico,367,51
Chad,,,|,mexico,405,38
Chad,,,|,mexico,475,70
Chad,,,|,mexico,585,110
Chad,,,|,mexico,717,132
Chad,,,|,mexico,848,131
Chad,,,|,mexico,993,145
Chad,,,|,mexico,1094,101
Chad,,,|,mexico,1215,121
Chad,,,|,mexico,1378,163
Chad,,,|,mexico,1510,132
Chad,,,|,mexico,1688,178
Chad,,,|,mexico,1890,202
Chad,,,|,mexico,2143,253
Chad,,,|,mexico,2439,296
Chad,,,|,mexico,2785,346
Chad,,,|,mexico,3181,396
Chad,,,|,mexico,3441,260
Chad,,,|,mexico,3844,403
