Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Chad,1,,|,mongolia,1,-15
Chad,1,0,|,mongolia,1,0
Chad,3,2,|,mongolia,1,0
Chad,3,0,|,mongolia,1,0
Chad,3,0,|,mongolia,1,0
Chad,3,0,|,mongolia,1,0
Chad,3,0,|,mongolia,1,0
Chad,3,0,|,mongolia,5,4
Chad,5,2,|,mongolia,6,1
Chad,7,2,|,mongolia,6,0
Chad,7,0,|,mongolia,6,0
Chad,8,1,|,mongolia,10,4
Chad,8,0,|,mongolia,10,0
Chad,9,1,|,mongolia,10,0
Chad,9,0,|,mongolia,10,0
Chad,9,0,|,mongolia,10,0
Chad,10,1,|,mongolia,11,1
Chad,10,0,|,mongolia,11,0
Chad,11,1,|,mongolia,12,1
Chad,11,0,|,mongolia,12,0
Chad,,,|,mongolia,12,0
Chad,,,|,mongolia,12,0
Chad,,,|,mongolia,14,2
Chad,,,|,mongolia,14,0
Chad,,,|,mongolia,14,0
Chad,,,|,mongolia,14,0
Chad,,,|,mongolia,14,0
Chad,,,|,mongolia,15,1
Chad,,,|,mongolia,15,0
Chad,,,|,mongolia,16,1
Chad,,,|,mongolia,16,0
Chad,,,|,mongolia,16,0
Chad,,,|,mongolia,16,0
