Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Chad,9,,|,nicaragua,1,-7
Chad,9,0,|,nicaragua,1,0
Chad,10,1,|,nicaragua,2,1
Chad,10,0,|,nicaragua,2,0
Chad,11,1,|,nicaragua,2,0
Chad,11,0,|,nicaragua,2,0
Chad,,,|,nicaragua,2,0
Chad,,,|,nicaragua,2,0
Chad,,,|,nicaragua,2,0
Chad,,,|,nicaragua,4,2
Chad,,,|,nicaragua,4,0
Chad,,,|,nicaragua,4,0
Chad,,,|,nicaragua,5,1
Chad,,,|,nicaragua,5,0
Chad,,,|,nicaragua,5,0
Chad,,,|,nicaragua,5,0
Chad,,,|,nicaragua,5,0
Chad,,,|,nicaragua,6,1
Chad,,,|,nicaragua,6,0
Chad,,,|,nicaragua,6,0
Chad,,,|,nicaragua,6,0
Chad,,,|,nicaragua,7,1
Chad,,,|,nicaragua,7,0
Chad,,,|,nicaragua,8,1
