Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Chad,,,|,russia,2,-13582
Chad,,,|,russia,2,0
Chad,,,|,russia,2,0
Chad,,,|,russia,2,0
Chad,,,|,russia,2,0
Chad,,,|,russia,2,0
Chad,,,|,russia,2,0
Chad,,,|,russia,2,0
Chad,,,|,russia,2,0
Chad,,,|,russia,2,0
Chad,1,,|,russia,2,0
Chad,1,0,|,russia,2,0
Chad,1,0,|,russia,2,0
Chad,1,0,|,russia,2,0
Chad,1,0,|,russia,2,0
Chad,3,2,|,russia,2,0
Chad,3,0,|,russia,2,0
Chad,3,0,|,russia,2,0
Chad,3,0,|,russia,2,0
Chad,3,0,|,russia,2,0
Chad,3,0,|,russia,2,0
Chad,5,2,|,russia,2,0
Chad,7,2,|,russia,2,0
Chad,7,0,|,russia,2,0
Chad,8,1,|,russia,2,0
Chad,8,0,|,russia,2,0
Chad,9,1,|,russia,2,0
Chad,9,0,|,russia,2,0
Chad,9,0,|,russia,2,0
Chad,10,1,|,russia,2,0
Chad,10,0,|,russia,2,0
Chad,11,1,|,russia,3,1
Chad,11,0,|,russia,3,0
Chad,11,0,|,russia,3,0
Chad,,,|,russia,4,1
Chad,,,|,russia,13,9
Chad,,,|,russia,13,0
Chad,,,|,russia,17,4
Chad,,,|,russia,17,0
Chad,,,|,russia,20,3
Chad,,,|,russia,20,0
Chad,,,|,russia,28,8
Chad,,,|,russia,45,17
Chad,,,|,russia,59,14
Chad,,,|,russia,63,4
Chad,,,|,russia,90,27
Chad,,,|,russia,114,24
Chad,,,|,russia,147,33
Chad,,,|,russia,199,52
Chad,,,|,russia,253,54
Chad,,,|,russia,306,53
Chad,,,|,russia,367,61
Chad,,,|,russia,438,71
Chad,,,|,russia,495,57
Chad,,,|,russia,658,163
Chad,,,|,russia,840,182
Chad,,,|,russia,1036,196
Chad,,,|,russia,1264,228
Chad,,,|,russia,1534,270
Chad,,,|,russia,1836,302
Chad,,,|,russia,2337,501
Chad,,,|,russia,2777,440
Chad,,,|,russia,3548,771
Chad,,,|,russia,4149,601
Chad,,,|,russia,4731,582
Chad,,,|,russia,5389,658
Chad,,,|,russia,6343,954
Chad,,,|,russia,7497,1154
Chad,,,|,russia,8672,1175
Chad,,,|,russia,10131,1459
Chad,,,|,russia,11917,1786
Chad,,,|,russia,13584,1667
