Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Chile,,,|,australia,4,-6299
Chile,,,|,australia,5,1
Chile,,,|,australia,5,0
Chile,,,|,australia,6,1
Chile,,,|,australia,9,3
Chile,,,|,australia,9,0
Chile,,,|,australia,12,3
Chile,,,|,australia,12,0
Chile,,,|,australia,12,0
Chile,,,|,australia,13,1
Chile,,,|,australia,13,0
Chile,,,|,australia,14,1
Chile,,,|,australia,15,1
Chile,,,|,australia,15,0
Chile,,,|,australia,15,0
Chile,,,|,australia,15,0
Chile,,,|,australia,15,0
Chile,,,|,australia,15,0
Chile,,,|,australia,15,0
Chile,,,|,australia,15,0
Chile,,,|,australia,15,0
Chile,,,|,australia,15,0
Chile,,,|,australia,15,0
Chile,,,|,australia,15,0
Chile,1,,|,australia,15,0
Chile,1,0,|,australia,15,0
Chile,4,3,|,australia,15,0
Chile,4,0,|,australia,15,0
Chile,4,0,|,australia,15,0
Chile,8,4,|,australia,15,0
Chile,8,0,|,australia,15,0
Chile,13,5,|,australia,15,0
Chile,23,10,|,australia,15,0
Chile,23,0,|,australia,15,0
Chile,43,20,|,australia,25,10
Chile,61,18,|,australia,27,2
Chile,74,13,|,australia,30,3
Chile,155,81,|,australia,39,9
Chile,201,46,|,australia,52,13
Chile,238,37,|,australia,55,3
Chile,238,0,|,australia,60,5
Chile,434,196,|,australia,63,3
Chile,537,103,|,australia,76,13
Chile,632,95,|,australia,91,15
Chile,746,114,|,australia,107,16
Chile,922,176,|,australia,128,21
Chile,1142,220,|,australia,128,0
Chile,1306,164,|,australia,200,72
Chile,1610,304,|,australia,250,50
Chile,1909,299,|,australia,297,47
Chile,2139,230,|,australia,377,80
Chile,2449,310,|,australia,452,75
Chile,2738,289,|,australia,568,116
Chile,3031,293,|,australia,681,113
Chile,3404,373,|,australia,791,110
Chile,3737,333,|,australia,1071,280
Chile,4161,424,|,australia,1549,478
Chile,4471,310,|,australia,1682,133
Chile,4815,344,|,australia,2044,362
Chile,5116,301,|,australia,2364,320
Chile,5546,430,|,australia,2810,446
Chile,5972,426,|,australia,3143,333
Chile,6501,529,|,australia,3640,497
Chile,6927,426,|,australia,3984,344
Chile,,,|,australia,4361,377
Chile,,,|,australia,4559,198
Chile,,,|,australia,4862,303
Chile,,,|,australia,5116,254
Chile,,,|,australia,5330,214
Chile,,,|,australia,5550,220
Chile,,,|,australia,5687,137
Chile,,,|,australia,5797,110
Chile,,,|,australia,5895,98
Chile,,,|,australia,6010,115
Chile,,,|,australia,6108,98
Chile,,,|,australia,6215,107
Chile,,,|,australia,6303,88
