Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Chile,13,,|,brazil,1,-20726
Chile,23,10,|,brazil,1,0
Chile,23,0,|,brazil,1,0
Chile,43,20,|,brazil,2,1
Chile,61,18,|,brazil,2,0
Chile,74,13,|,brazil,2,0
Chile,155,81,|,brazil,2,0
Chile,201,46,|,brazil,4,2
Chile,238,37,|,brazil,4,0
Chile,238,0,|,brazil,13,9
Chile,434,196,|,brazil,13,0
Chile,537,103,|,brazil,20,7
Chile,632,95,|,brazil,25,5
Chile,746,114,|,brazil,31,6
Chile,922,176,|,brazil,38,7
Chile,1142,220,|,brazil,52,14
Chile,1306,164,|,brazil,151,99
Chile,1610,304,|,brazil,151,0
Chile,1909,299,|,brazil,162,11
Chile,2139,230,|,brazil,200,38
Chile,2449,310,|,brazil,321,121
Chile,2738,289,|,brazil,372,51
Chile,3031,293,|,brazil,621,249
Chile,3404,373,|,brazil,793,172
Chile,3737,333,|,brazil,1021,228
Chile,4161,424,|,brazil,1546,525
Chile,4471,310,|,brazil,1924,378
Chile,4815,344,|,brazil,2247,323
Chile,5116,301,|,brazil,2554,307
Chile,5546,430,|,brazil,2985,431
Chile,5972,426,|,brazil,3417,432
Chile,6501,529,|,brazil,3904,487
Chile,,,|,brazil,4256,352
Chile,,,|,brazil,4579,323
Chile,,,|,brazil,5717,1138
Chile,,,|,brazil,6836,1119
Chile,,,|,brazil,8044,1208
Chile,,,|,brazil,9056,1012
Chile,,,|,brazil,10360,1304
Chile,,,|,brazil,11130,770
Chile,,,|,brazil,12161,1031
Chile,,,|,brazil,14034,1873
Chile,,,|,brazil,16170,2136
Chile,,,|,brazil,18092,1922
Chile,,,|,brazil,19638,1546
Chile,,,|,brazil,20727,1089
