Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Chile,238,,|,netherlands,1,-24570
Chile,434,196,|,netherlands,1,0
Chile,537,103,|,netherlands,6,5
Chile,632,95,|,netherlands,10,4
Chile,746,114,|,netherlands,18,8
Chile,922,176,|,netherlands,24,6
Chile,1142,220,|,netherlands,38,14
Chile,1306,164,|,netherlands,82,44
Chile,1610,304,|,netherlands,128,46
Chile,1909,299,|,netherlands,188,60
Chile,2139,230,|,netherlands,265,77
Chile,2449,310,|,netherlands,321,56
Chile,2738,289,|,netherlands,382,61
Chile,3031,293,|,netherlands,503,121
Chile,3404,373,|,netherlands,503,0
Chile,3737,333,|,netherlands,806,303
Chile,4161,424,|,netherlands,962,156
Chile,4471,310,|,netherlands,1138,176
Chile,4815,344,|,netherlands,1416,278
Chile,5116,301,|,netherlands,1711,295
Chile,5546,430,|,netherlands,2058,347
Chile,5972,426,|,netherlands,2467,409
Chile,6501,529,|,netherlands,3003,536
Chile,,,|,netherlands,3640,637
Chile,,,|,netherlands,4217,577
Chile,,,|,netherlands,4764,547
Chile,,,|,netherlands,5580,816
Chile,,,|,netherlands,6438,858
Chile,,,|,netherlands,7468,1030
Chile,,,|,netherlands,8647,1179
Chile,,,|,netherlands,9819,1172
Chile,,,|,netherlands,10930,1111
Chile,,,|,netherlands,11817,887
Chile,,,|,netherlands,12667,850
Chile,,,|,netherlands,13696,1029
Chile,,,|,netherlands,14788,1092
Chile,,,|,netherlands,15821,1033
Chile,,,|,netherlands,16727,906
Chile,,,|,netherlands,17953,1226
Chile,,,|,netherlands,18926,973
Chile,,,|,netherlands,19709,783
Chile,,,|,netherlands,20682,973
Chile,,,|,netherlands,21903,1221
Chile,,,|,netherlands,23249,1346
Chile,,,|,netherlands,24571,1322
