Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Chile,238,,|,portugal,2,-15985
Chile,238,0,|,portugal,2,0
Chile,434,196,|,portugal,5,3
Chile,537,103,|,portugal,8,3
Chile,632,95,|,portugal,13,5
Chile,746,114,|,portugal,20,7
Chile,922,176,|,portugal,30,10
Chile,1142,220,|,portugal,30,0
Chile,1306,164,|,portugal,41,11
Chile,1610,304,|,portugal,59,18
Chile,1909,299,|,portugal,59,0
Chile,2139,230,|,portugal,112,53
Chile,2449,310,|,portugal,169,57
Chile,2738,289,|,portugal,245,76
Chile,3031,293,|,portugal,331,86
Chile,3404,373,|,portugal,448,117
Chile,3737,333,|,portugal,448,0
Chile,4161,424,|,portugal,785,337
Chile,4471,310,|,portugal,1020,235
Chile,4815,344,|,portugal,1280,260
Chile,5116,301,|,portugal,1600,320
Chile,5546,430,|,portugal,2060,460
Chile,5972,426,|,portugal,2362,302
Chile,6501,529,|,portugal,2995,633
Chile,,,|,portugal,3544,549
Chile,,,|,portugal,4268,724
Chile,,,|,portugal,5170,902
Chile,,,|,portugal,5962,792
Chile,,,|,portugal,6408,446
Chile,,,|,portugal,7443,1035
Chile,,,|,portugal,8251,808
Chile,,,|,portugal,9034,783
Chile,,,|,portugal,9886,852
Chile,,,|,portugal,10524,638
Chile,,,|,portugal,11278,754
Chile,,,|,portugal,11730,452
Chile,,,|,portugal,12442,712
Chile,,,|,portugal,13141,699
Chile,,,|,portugal,13956,815
Chile,,,|,portugal,15472,1516
Chile,,,|,portugal,15987,515
