Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Chile,,,|,russia,2,-13582
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,,,|,russia,2,0
Chile,1,,|,russia,2,0
Chile,1,0,|,russia,2,0
Chile,4,3,|,russia,2,0
Chile,4,0,|,russia,2,0
Chile,4,0,|,russia,2,0
Chile,8,4,|,russia,2,0
Chile,8,0,|,russia,2,0
Chile,13,5,|,russia,2,0
Chile,23,10,|,russia,2,0
Chile,23,0,|,russia,3,1
Chile,43,20,|,russia,3,0
Chile,61,18,|,russia,3,0
Chile,74,13,|,russia,4,1
Chile,155,81,|,russia,13,9
Chile,201,46,|,russia,13,0
Chile,238,37,|,russia,17,4
Chile,238,0,|,russia,17,0
Chile,434,196,|,russia,20,3
Chile,537,103,|,russia,20,0
Chile,632,95,|,russia,28,8
Chile,746,114,|,russia,45,17
Chile,922,176,|,russia,59,14
Chile,1142,220,|,russia,63,4
Chile,1306,164,|,russia,90,27
Chile,1610,304,|,russia,114,24
Chile,1909,299,|,russia,147,33
Chile,2139,230,|,russia,199,52
Chile,2449,310,|,russia,253,54
Chile,2738,289,|,russia,306,53
Chile,3031,293,|,russia,367,61
Chile,3404,373,|,russia,438,71
Chile,3737,333,|,russia,495,57
Chile,4161,424,|,russia,658,163
Chile,4471,310,|,russia,840,182
Chile,4815,344,|,russia,1036,196
Chile,5116,301,|,russia,1264,228
Chile,5546,430,|,russia,1534,270
Chile,5972,426,|,russia,1836,302
Chile,6501,529,|,russia,2337,501
Chile,6927,426,|,russia,2777,440
Chile,,,|,russia,3548,771
Chile,,,|,russia,4149,601
Chile,,,|,russia,4731,582
Chile,,,|,russia,5389,658
Chile,,,|,russia,6343,954
Chile,,,|,russia,7497,1154
Chile,,,|,russia,8672,1175
Chile,,,|,russia,10131,1459
Chile,,,|,russia,11917,1786
Chile,,,|,russia,13584,1667
